asset,opened_at,owner,iasset_staked
iBTC,1669059962,31ac5363f5d3b6bc5ee0a10aac24f82fb0417a1e53f318833cb34c9b,1483
iBTC,1669076036,94e8a4d1c409af5498095aafa61edb23fdbd9714f45d104cbe148425,8535
iBTC,1669080940,9cdf11e9f7832510865cf609be23fce37c331324a087d334801d435d,2591
iBTC,1669140402,a0a625ad8b607e8ab650ebc0d4003f5f3ffa21a811980177793a32a5,857
iBTC,1669446592,cfac2849597e191f8ce7e3f3555150761a2f661beebc6537facb738a,971
iBTC,1669757674,4652c04766dfb925145dd332a511ae47fc2404afe0bebeee3627a71a,322
iBTC,1669775382,1378ddb6db2b41744fd8b3475658830b7e6beeb52a061846a778cdd8,30166
iBTC,1669188905,8ced098872686355fd3accc2329d595bf2ac9c6e7e981a8bc89d4540,15072
iBTC,1669943380,856d18a37ff1be2074f1904f3db9d2d45ea8badc88a3ff443836b97e,14963
iBTC,1669970656,b116a13787a0e3908128fb3d218193ebbe31f14bb1564e3b17e56474,241
iBTC,1669994096,222afda7939e082f26e12d2ce9cf584b44538b31a60e2e1f3f333821,271
iBTC,1670075931,37ed0edbae22b1cd07e47eade303eb9911b4ce9c80ca0f96906b277d,1006
iBTC,1669044731,df3ed3c34530edc62131484128ad73c4a256a8974d6a52ec845b64ed,2648
iBTC,1670128397,f8dc2687e7efb9814a0258337bbead8dbcf6dac7a0237e3b600f404d,1966
iBTC,1670132699,4526f66e5ac4bc27384718c9d97f85fd931961ca274b82e8529314a6,1208
iBTC,1669592520,2774b527cc66118eeb772ca5553089dc2f9d0a675d5d4bb0615afa56,8
iBTC,1670243629,3addd926e4d74499b821cb53b4e084086d1323a22608c47c43b21f50,155954
iBTC,1670286571,6a454ac65fe62709fb8b2f46b6ed76a6497997c2eb9cfd9b4de35940,260659
iBTC,1669102392,0dbb67ed102393b0bf27cb9d1c2f8f83ad7a9f1689904879a5191c92,172435
iBTC,1670373065,2ce68896a2812bcceaeea3837e33e4d24b1c88151c1a0b6cd02b182d,4001
iBTC,1670379708,0448fe09c5e6496b162f9a88ea422f1af9d14c07092ca528ddea63ae,1512
iBTC,1670381564,10bc27afabbda7fc02b15506968725e6af86ff6932f30a128d1d2f9e,7420
iBTC,1670383670,72a4f8762086be088bc83c7753c6c075ffbce4c2d5c436d5bb14295b,8735
iBTC,1670400563,e65fafb51e3a0af5b2fc7dbdb246b633fdcccd9459e3e2f2c09f2ccb,16326
iBTC,1670418784,58565b9a0b90f766dad48a3cb365453b452565ecb6773a55a5517b48,204368
iBTC,1670428677,71b03bb1f2db64f230e74c08d8bee62313660b1bf9649fbc28f690bc,37402
iBTC,1670479274,06126a123250e0920b44678709da9d6d06d9edca5ecc7c532ac49aad,38216
iBTC,1670500197,559d23a5db8f1b809ba9b48e7504582c96af34f68495f3ed51b2cce5,8644
iBTC,1670183586,bdea1a2fcab12f296699d998c594e8385b7342f2ff6fc2e60ad65ab7,1161
iBTC,1670782200,625a80682693f31e617ecbd92d269d226fd5ebd2f8584ef00577a658,1551
iBTC,1670788725,b178ffc093995ed4f92326da8cbbae25832bd1c723b4897435ae3ee3,243
iBTC,1670858019,402aa9a17bc75af743dcb1e0be5aa6c22f3ccb3812ee05ecb9ba0369,721
iBTC,1670859277,b8a892490fa5784bf2c73603b7cc0f05a3219fc7901db3e698ad7f11,490
iBTC,1671038612,1c7b320ce9d32794943ce28e1b967958daa2d6b66cf9669d02305944,2531
iBTC,1670419479,7b0c86a4526e23a1116c0b40d50e9c298db9828174d6d51e9a656509,1
iBTC,1671119125,03e5ace692d9f4f9024c988e09294f7b20064db269367a51966387cc,1635
iBTC,1671129676,baeeed00be50eeef2fc6f4089780abd4fc3cc461052fe8f271fd93b4,2419
iBTC,1671132863,02dea5a4227b3f3ea4c25cb9efec1c9d21d6c84c094723fc4d0ea263,2055
iBTC,1669971145,ea29ab4f2420255302bd2c56e8fe74a36f0fcc96a30cf5fad9994b4a,349313
