asset,opened_at,owner,iasset_staked
iUSD,1669041696,df3ed3c34530edc62131484128ad73c4a256a8974d6a52ec845b64ed,753287901
iUSD,1669065272,ad122b9fa3ab86495712afd2a6f655430427c2cf21a54fd0c8fe8e63,161944630
iUSD,1669075286,8dc46b205f4e3147a3bb91d9d76b188da58b1da3f1bbe5ce85093ba6,13147138
iUSD,1669079476,529828b5fb8e3347ffc11e615fead9d06250f5457c828595bba6d3ba,588573825
iUSD,1669081197,583b2c59a9b7d356745f0a1a03982acf2ef69764628e633cbc3484ba,78063475
iUSD,1669081301,a60371ac41750ca05345ebf0568979e43a8182dbf8faedc914e5a253,9890057
iUSD,1669089167,b0418646136117e82f751e82489d865a6ec05301689d2ced4beecc3a,141888332
iUSD,1669097974,4e62d05de1165f2aab05592b53327a50255fab1764d9233858a5d0f1,178090579
iUSD,1669111331,0c879d816213df21eea5927738fb62a99c6c3d83b0ddf741a6cbffd5,185447259
iUSD,1669112083,f0cde7772008d840812c16a10b033c4b64949c7026e1cd26384b812e,9263922
iUSD,1669112799,03eff44005d2c091c2647b45a89f9fe5b0ecea143c4e954cfc2dcedc,14842977
iUSD,1669113292,0dbb67ed102393b0bf27cb9d1c2f8f83ad7a9f1689904879a5191c92,247382955
iUSD,1669127510,0f089d3da70097cb8d79b9a8e24586791d33533b177321ded6e0c412,9686774
iUSD,1669130259,2088d39d143c4c6880ad87baa8cadd37bfb777d80e9eabef91862bb3,75399763
iUSD,1669130895,72a4f8762086be088bc83c7753c6c075ffbce4c2d5c436d5bb14295b,14539463
iUSD,1669139330,268b50ad94f59bf74b844db64a206111490bce164673364de01ade99,95926247
iUSD,1669139733,e2a0f1cae6e8f02aa0fdc9622f8351573919d111cea3bc1eceb898b5,72271563
iUSD,1669140799,a0a625ad8b607e8ab650ebc0d4003f5f3ffa21a811980177793a32a5,1659263
iUSD,1669147957,7445ca9f38f1c88e0f7f1ec5ba3f11352a03ebdc93814ae8cc3c4365,1918524
iUSD,1669148490,56f657fe0244e7e283418ef04510779eab7f5f4791cfda7ef19b020f,25659134
iUSD,1669148974,b74651e3951ef4718fd11de645d6580742a7240814af5b659cbcd43f,613927990
iUSD,1669087072,38912a457ed1811244cdbc1c358671491a7b2844953774a86fa765dc,138524344
iUSD,1669140402,d203a585d517315ef60b563878acfd72bd9ba9bd458d8c432ba53f7f,84562431
iUSD,1669173218,90e56b15688725117897bf37ff3d133e07fe33f94fd7317278a25f94,9902765
iUSD,1669176184,8bedd3fd1561aa61bc84af3b1354a73ccd0d25e56ca6ad10d46184c5,7750895
iUSD,1669179690,f08a2242c6a6353ea38c9316dc478cad0d5e53eef6c1833e763eb33d,4848107
iUSD,1669211508,9b17cef23431d8b9cb283d2346bdf696893f231914c69d483a3e7e54,19010396
iUSD,1669212645,815ea6793d319a3090588b6c39c6a080bcc3483d6e73761bb4473a85,17207725
iUSD,1669213596,0944891a137e8df0f9e8d6bf87f7c77b6b2630c69af3e5281612f484,18615676
iUSD,1669229659,5fb62a4e69246e0f73bd3b02f474ad99a993761f584be7b6ee34454f,6205224
iUSD,1669244659,d4d3fd097c6311a541119642c2ef7a8f47a18f8d6b269ac4aa2a835f,101724007
iUSD,1669271644,85dccd823a8eda33c9f680bb5dd7c09479fae10c95732a968f39ddad,123859137
iUSD,1669279973,378fe198237c90445a579452585222f4607278016ddef57b000ea2b8,99361421
iUSD,1669280880,cbf12305ea7cfb2d9c17e10b7337cd18b8fbff65e5bc4a3a39c015ed,132302128
iUSD,1669286933,affba47e1ee5b89b489064abdd4832751f9e4f647c388d76f7638c1b,199227371
iUSD,1669307087,b7e3d8ea466740d71d745657f3078a52f9603a22401ffe10d5f84704,2441182
iUSD,1669343689,779311e3763a0548a21966fcbaee04af77a5c21dc863eaf8dfb7d232,22560644
iUSD,1669376402,0675cb3ec5c7cb6699ae457cff335d8ccd469e91fea59a2147ff971f,39737832
iUSD,1669387247,64521ad5f6f20957c08d29f9b077fefe7ef4659f4ce64a889a02c167,133815143
iUSD,1669388407,e598f6426a9f4652c892e44d54446756b78a58002b86411c9b475fdb,396906342
iUSD,1669416709,c2d5b272e2f3d057756e4c300cc19643ad3ba2a2be7ad02573d127e2,55482325
iUSD,1669215254,2f9ea3c084a6c0c4b7a306bd5e30c6230eecdc91e4f581e1be3375c6,242971723
iUSD,1669446156,cfac2849597e191f8ce7e3f3555150761a2f661beebc6537facb738a,26298793
iUSD,1669448567,ef1af1a8910ea15c905f4244cbf01932b9cd343cee3f538be0965412,8136579
iUSD,1669449855,ce49b96a1faf94835d72885dfb42ad4fcb9583d7b9095ac21a2ab73b,395797602
iUSD,1669454928,6873f354a534d12ba78b5393b34ff62a34e055198eb763a142dc6d06,72490018
iUSD,1669475398,bb6b3fe621e9aa3a6f1887c8eb7ab4b460bb0a0f55cf918e79d3b2c1,248176802
iUSD,1669480776,d906bff43d0cf1f953664eb6ce9d568afb32f84dd5a04d368a052957,169549604
iUSD,1669278262,2565d4ceb27abec66f12b27af3bfb8a828bcc5dfedc31442fb34422a,48923050
iUSD,1669495210,da44553c6df69e66bf91c92cb676ecd5d967e9b512aeb35f0828a872,64558047
iUSD,1669504825,b5373262fed909ee4b36ac1cb3a3fd9112a45078a09c2bc5d7fff5df,10190132
iUSD,1669511356,5b06d393e8dfcfc2b19ca8ecc91c242dd437ed72d917391264183f36,99328753
iUSD,1669528558,55956decbaff2ee18273cf3cd9bde5092f5fbe7f3768712d553d0288,135589661
iUSD,1669494133,a199d2ec461153020ee18bbdfe5e4e3a2c9778bc4d265ef7dc64a6b8,63530991
iUSD,1669536582,5a0d775616ff063e832390cdbd39f264da1a2704245800660791d597,31577308
iUSD,1669547955,81b9a0a03bc7fdf55630aa5fccd232cb4ca6f971a11bb174d307852a,182233211
iUSD,1669552921,9d03958dbc161d2be261ca4abefe912514d0aab8fae4c6fa675179e5,41062940
iUSD,1669505033,251afb45009e8cdcc4d95ce402b280fd11751704e540c5c12c5d293c,29379449
iUSD,1669578278,7cd8f3d5d95127141e5843ab2818de72f85efb9e7b8a1cf847e794c4,119194504
iUSD,1669578539,89d095d531c5d92be599e65bfe27c44652b2cf99b72a332427e9d8a2,19799262
