,epoch,owner,indy_staked
0,430,afa75ddf3370b8ecc5fa6d9f155a8ac6d718a04ae6728a03f4badb1a,2458873225
1,430,f6fcca8e038ea090905302d26ce726b52c7d40c64d836b30af6c62d0,1718025154
2,430,3a34072ad80d510f5d01496b5814366342f55a04bc906342449cb641,70000000
3,430,98e54365a69be5677bcfb4307c556fafa7878e691ad1464537a4add4,144696434
4,430,5c399c3a144634702da1153165470ceac0c3f09df985e9f6ae539a9f,101000000
5,430,582e5b3762d185fd2137bd675b2af9664af6f161201e6a50e2b234ae,99342908
6,430,2e1573f020d7dc42fb1befd459287f0e620fb799cee111e43c50d676,11891248
7,430,47ae397a7fbfcf4e3ec5e628bfda2d3bf5a5e6f4bdc43226cf840f2e,20715050
8,430,16d67a9a224d44e3196f9ea8b6c4302d1f1ae8b805f26c5224468bec,5000000
9,430,3a5c536f4deb9d98ff6e72f3ee92266964b9312d00e6230e33c218b4,50200803
10,430,2795fbf1bad85cd8cac0c73d1ee747e4d1b1c809cb13e4da26af9d5b,62100175
11,430,5f841de490d21c2b60d865852552b8a829e6ef4fabd1fee7ac7977bd,125262557
12,430,b65d33ab5f99b86cf0b97918ab016bad7102101b53e1f75e26a3e341,55200803
13,430,c6c3c85f66fb3455abc3cc8331c2e185b6176425de350ce860e336b6,76688160
14,430,9eee0e143dba17142d83d7e0626057505b31dfebe837fda88a6c8d3c,190000000
15,430,228e0a30a458311e53a7af07d52cc78635a1e39f3417eb0bc043d36a,106195313
16,430,62096714148efad1f1c0a20927d230b262f36b69acee371da430c0f7,54300842
17,430,264b07c1c0e548cd0092f278041990e98e2c9e1ef93df6086d57e2cd,58013215
18,430,367f03499d9c7099ccb8773df0f11c38cc38418357310d2652486936,55200803
19,430,554ec941fb4483a020554d84d430d5e015074f2754947c6394c4b215,238027103
20,430,f6966c6ff21699a1952cf5caad00654f24a4b31902c0e0545e46890a,1000000
21,430,7c3e1e3a1a82c6399809ef3375f29fd9b09b5356687aef4442977e5e,50200803
22,430,a36ddcb8e9fc5f714b195bfe99e061184792a30d6c4fb01075e2b64d,27165503
23,430,78e15c4ff6e712e8ecca7d9935f63ced0319689c3acd9ac05fd79d98,50200803
24,430,4fef1de46ca4dffc70cafbce94918dc9e28000d395411532f418a73d,150000000
25,430,91e234a75f838c2266aa67ef73f90c514e18527d1351551851acd953,50200803
26,430,556100ce07693209fdf4b14ba4871585986dbb91b732b535929c77bc,500000000
27,430,b80fbd43190dee7562d7e746af746f44fef0dd19640725d4227e5ec7,921306633
28,430,d1a2c9c2ac9bd2f3108f7b0b9bcd5ce9140b4eb7fdf67c025400fd46,1368535909
29,430,dfed1e960ff73a09e1fccc0edfb226e3b4460cc5a75cce2232b93166,41778889
30,430,983ef1478c7e0c8dbfcf002a753a080eb863c8bed6ee2b9292610215,1140968662
31,430,6932deb22295a31fb022f0ab0542fa2b64c1b7574d6bacbb6e0c3e48,13042471
32,430,802cb092106fceffa2337814d10a42c330bfd573c0b29819d6a43b4a,125000000
33,430,0e229cc8fa16998e81904b2bda4438b5ddf0883594ce8a5153e6b2bd,10000000
34,430,77e821da0d4136b83e3e8854a8ccce10d2997b7888c280477ff3b7ce,39036274
35,430,d38b75eb9584ca38021840cce6926718bdee5c7a1f74fc83f85f1b69,5282563
36,430,a0d41f1fe990c25b4dc74c7a048ae1554d7856bfea01cd994148020b,110309895
37,430,4000403905718b262c8c0038569b478ad0a51ed2be05a1a2406e7012,15311433
38,430,1231092377a09ac5cd105c919cae8877e327ddcebcae4d52ccea9970,5000000
39,430,915031b4871e9395fa2edc07fdee4286180c4d84058368250395cb6e,15000000
40,430,5c9a0174d12599eebcb69d1cf00df2db4bf9fa596b9dacc91a8eb89e,532979058
41,430,9b5ca3c44c5b45ec37beb7dba0a3376e091d5d78dd13e3f5d6900701,101186743
42,430,c676e7dc4c9858af4a8fd787973740b6946d225fe321e3b0b01341de,5000000
43,430,ab4016e775734957466338ed9e48d682b75e7391e3890a52f5a645d0,448919131
44,430,199c3ae4a00d29e5decc1784ddf540928095f4dfd424b64c150feab7,5000000
45,430,f1997edde93c962c05b401ac11d88a8dfc240c543b0ec72c33880d0f,102063929
46,430,031321b696297f754f81ed3587e1b77be61c69ddfb7d1d61c366fb19,313932179
47,430,63b3889ebf65aba913b3ca44031d7b2c59b04b0727c3f2e67d52d034,1000000
48,430,30608ec8b48a9c6715a40d231871b98f28b3ff401631fbc67177f0a0,0
49,430,4a327222227863b7a44a7d9ef1e8148060bf75334ea1015e18617e17,3428744407
50,430,fea32511f9a826f9d4356a5153aaba989eb8f31272a64aafb8124769,174330641
51,430,8707ca72180e998be7256d3ca209f1018ee51fc9f9e1d55fd1d962ae,133573422
52,430,7f7147d6af61e9c199387c5afb74d8fb307390dd7fb9853be1fc5764,204900790
53,430,0e37ff2bfb32da6cd23995d8683ba2c62b0752390ea6795fae443de3,13082908
54,430,c0960051779497477b7990f39f17bf14442e56a70bf43f068d1cf57e,75159566
55,430,a06113a3938ccb49b7ce16f9b2ab9111f914884df9c0caaa289937b8,50000000
56,430,46bd39370e967bb8f02258034e52e067791859c2ef94f2fbe58aa952,572898431
57,430,54007dd63152ad9122e7bab424920e99fc9421ab02842f578cbfc909,53355892
58,430,ae410e87b18ac10b7b28dcc401248dfe43d8bddcad2c349f315e9d55,25344974
59,430,f6c3024078827aea63f19626fcb44448669d44334cfde11c74e5b004,51725305
60,430,64a10c64f24430b1dd073fdd02d0ba3f90aedfbb56a11ebc88f31d9a,14029231
61,430,a7e0424b1f170c410738605f255210625f2b7142062ac47c273616f0,53565202
62,430,5dab3fd5d3fcd16456322797fb97bfffb7fe5422621e5fbcb24a8e4b,80653354
63,430,d1cbca2f513f89406752d1009b7eba249d0cb7d0adcb1177de813348,1117813401
64,430,6a1471d73b455b1bdf4385f07ac018eb887823afd9744c580eb43cbf,55200803
65,430,0936d68d47189f049a4aee68bf5d41b42a92f5545b84611c9fe57688,50200803
66,430,9b097765bfe40e19de6945a6a0daaed669f4054ac7bbdd364a67af40,30000000
67,430,43b8e3375ecf90169230d91ce92863d0b041ed4c8668cc87d17ea980,274204157
68,430,a2b2868b4ed8cb7d64c181d43729fc2d1ee6349d19244491006b16d1,6631892
69,430,54b42a5c2b1474fc200f0da1f6a8d2945abd996c67a9106c5b72ba7c,32948187
70,430,d1c0028ea9d45dc4a787b0171ace30d0b242ab4879f0bf33453e383e,18515401
71,430,6e11f9b5796c4230395263b6a595123e4d2a6884b1221a75680bf77d,12080396
72,430,32f0c1cb0c852e6ae372fe350093a8125db1c779e6b1a3d531b1157a,200000000
73,430,1b63ed5f8fe54a1f0ae131c1f9a5a3a7f159842afc9b70463f8d95b9,61530269
74,430,828ed564ca4ad9f96e30ec114aee7d724e72567e44537c8aa264ebc5,734914877
75,430,ca0cf7630e2d9987b84579be003a2f2176e56b3fb8d2213614e59b9e,4019042422
76,430,9ec26f63bfe50214282ef7ab89765bb7d647271ab7952de6815fbc19,8287751
77,430,e912270c161ba364fe6dab8b054e4cefe40070c32472b9f8b9b4466f,20528694
