epoch,addr,purpose,date,amount,Expiration,AvailableAt
452,222c33a3ddf56799694bb262eec3e8eea2b543200dc8c19cb05e91af,SP reward for iBTC,2023-11-27,801,29-02-2024 21:45,01-12-2023 23:00
452,4bc68e944b110d752d552bd07df288e2a21102e7fcb8f66bf0fa6b03,SP reward for iBTC,2023-11-27,11346,29-02-2024 21:45,01-12-2023 23:00
452,24be347acbb7713ebcd0f5b2b131f5d6ec0b9d48f4f142a0da648760,SP reward for iBTC,2023-11-27,779,29-02-2024 21:45,01-12-2023 23:00
452,1e55b5dd30127909ce59b07ec00664030565822c232536f659139900,SP reward for iBTC,2023-11-27,16065,29-02-2024 21:45,01-12-2023 23:00
452,85efbfc96dbff3982879b8689ec1c4755ea8e4b64281d1ac19a855f2,SP reward for iBTC,2023-11-27,1500,29-02-2024 21:45,01-12-2023 23:00
452,5c3d04a6fd9ff6f0ec72ef6f5213b307db3910cdec68ed15fab76aa7,SP reward for iBTC,2023-11-27,10669,29-02-2024 21:45,01-12-2023 23:00
452,6b5976099e509e58d6d3d04d10a63bdc511b3de937dd839cfb876076,SP reward for iBTC,2023-11-27,249411,29-02-2024 21:45,01-12-2023 23:00
452,5174ab849efa5337d220c79f849aa39ee378cd42b3ea9a2cc55ff905,SP reward for iBTC,2023-11-27,5782,29-02-2024 21:45,01-12-2023 23:00
452,929695c172f6c2841df1482161ec1a2716ee2f166c27c86b20736e71,SP reward for iBTC,2023-11-27,1828,29-02-2024 21:45,01-12-2023 23:00
452,9db8dbdfc35cd01248d7ef8b323d76a072cc6ccec45aca38ddd3f99c,SP reward for iBTC,2023-11-27,217230,29-02-2024 21:45,01-12-2023 23:00
452,db9b636e1b467ad9fa1c99c5820477f235d024c6079471192b750ce4,SP reward for iBTC,2023-11-27,36,29-02-2024 21:45,01-12-2023 23:00
452,3cdcafabe8d5a88419c7cb447f0467d81cd4086c97b489b49ddd0dca,SP reward for iBTC,2023-11-27,133969,29-02-2024 21:45,01-12-2023 23:00
452,01bb74d6a09834970c7e1cb6883cfaecbd3982e7fcc8d24116deaa84,SP reward for iBTC,2023-11-27,1784,29-02-2024 21:45,01-12-2023 23:00
452,30f71e8f66d9f908f0a47173cccb4127341e557e9f3d9d60e0d60178,SP reward for iBTC,2023-11-27,1066392,29-02-2024 21:45,01-12-2023 23:00
452,cef48e82717f374be93b1e5bccad65b68e9403e57dcec8f251b35455,SP reward for iBTC,2023-11-27,20510251,29-02-2024 21:45,01-12-2023 23:00
452,289cee24fb86dd5d5b6f02c8ca80397e03fa83c086d6e698e3ec330b,SP reward for iBTC,2023-11-27,233,29-02-2024 21:45,01-12-2023 23:00
452,61cc93b6feaaf71fb0a4133fc103134b9e0057b17a96b5b8ab064345,SP reward for iBTC,2023-11-27,42107,29-02-2024 21:45,01-12-2023 23:00
452,31352abda9a60e8a89222a049834cdd603dcc4fa2f9f3dbfc0a0b25f,SP reward for iBTC,2023-11-27,2957,29-02-2024 21:45,01-12-2023 23:00
452,73064ed9d446fe559dea6a5c0484f4c4876d91e1d7442109f6815770,SP reward for iBTC,2023-11-27,218,29-02-2024 21:45,01-12-2023 23:00
452,63b3889ebf65aba913b3ca44031d7b2c59b04b0727c3f2e67d52d034,SP reward for iBTC,2023-11-27,36,29-02-2024 21:45,01-12-2023 23:00
452,8b542601309e158b422074b4a53ec9aa0f09a0b50f58bce55a68b4a0,SP reward for iBTC,2023-11-27,1253,29-02-2024 21:45,01-12-2023 23:00
452,7bfcb0b4a3974232c21fe4440a2befb5aff58093e9582c9d447c1e0d,SP reward for iBTC,2023-11-27,15,29-02-2024 21:45,01-12-2023 23:00
452,4385f6e1941b54b06ddfad16a7d19ee7f713d9f4fd7d3d9334b9b566,SP reward for iBTC,2023-11-27,95,29-02-2024 21:45,01-12-2023 23:00
452,11b4ac68cf0d110247dc7d2bc139c92fd7a21af0a798a913e06fecd1,SP reward for iBTC,2023-11-27,37585,29-02-2024 21:45,01-12-2023 23:00
452,ae17e9f63022e30bddc7f2c9189140dfdc434af23e26f37f75394229,SP reward for iBTC,2023-11-27,6328,29-02-2024 21:45,01-12-2023 23:00
452,08abc365d15eb5a450ff8ed2a6207bfa3cb5a0df4ec1ddd0e6636026,SP reward for iBTC,2023-11-27,7,29-02-2024 21:45,01-12-2023 23:00
452,53313be7f4738a1ad1554126858d052f318ccbf66d88b5016e9155d5,SP reward for iBTC,2023-11-27,335,29-02-2024 21:45,01-12-2023 23:00
452,8d995bf956bbf2a69b6549ca3a6830e9292b0d2641e9fa520d0f294d,SP reward for iBTC,2023-11-27,169988,29-02-2024 21:45,01-12-2023 23:00
452,5f9483631a382320cd149d20a120f71c1f8c7030b72408f44fccd795,SP reward for iBTC,2023-11-27,15,29-02-2024 21:45,01-12-2023 23:00
452,243143a1edf725605b078e3660ccf3ef4811e54ce8d70b04ae15a4b0,SP reward for iBTC,2023-11-27,4945,29-02-2024 21:45,01-12-2023 23:00
452,8ced098872686355fd3accc2329d595bf2ac9c6e7e981a8bc89d4540,SP reward for iBTC,2023-11-27,35852,29-02-2024 21:45,01-12-2023 23:00
452,6f860cd15e7d9a0fe71735b338fa4ad81e418ddaae95928bd2994fc1,SP reward for iBTC,2023-11-27,1880714,29-02-2024 21:45,01-12-2023 23:00
452,4647b9163e069f291328c22c76051780a8e8616e00354aa8cbc5cf6e,SP reward for iBTC,2023-11-27,7,29-02-2024 21:45,01-12-2023 23:00
452,222afda7939e082f26e12d2ce9cf584b44538b31a60e2e1f3f333821,SP reward for iBTC,2023-11-27,641,29-02-2024 21:45,01-12-2023 23:00
452,71b03bb1f2db64f230e74c08d8bee62313660b1bf9649fbc28f690bc,SP reward for iBTC,2023-11-27,50045,29-02-2024 21:45,01-12-2023 23:00
452,96ea86b6481fa765de3718fae818186c426d848761d5e574b5d9078d,SP reward for iBTC,2023-11-27,158191,29-02-2024 21:45,01-12-2023 23:00
452,c05d3ab97abdcac7e81855b92b59afe40f18b059e9d8cceedc5ef511,SP reward for iBTC,2023-11-27,9671,29-02-2024 21:45,01-12-2023 23:00
452,ad4c1b0b50a32c00b7798cc93a249f5702d7e23c91601657d52c56ad,SP reward for iBTC,2023-11-27,74231,29-02-2024 21:45,01-12-2023 23:00
452,b485a4652f1572808586882af82ef45d6219992c2b3dc68412fa6502,SP reward for iBTC,2023-11-27,74260,29-02-2024 21:45,01-12-2023 23:00
452,1989462784de66a8e08b553e196bb609d62853586a741ce3abb34e13,SP reward for iBTC,2023-11-27,72592,29-02-2024 21:45,01-12-2023 23:00
452,f393547fdc57f678fdd9827cb603e9a60d57282bd37416a327094f56,SP reward for iBTC,2023-11-27,49099,29-02-2024 21:45,01-12-2023 23:00
452,945cd17ae5a96a439a8191283c8459e67ab18c7e2d93fa1dfce4671c,SP reward for iBTC,2023-11-27,7166,29-02-2024 21:45,01-12-2023 23:00
452,4484d456440c1956679e21e1d66e924d649c00666227046c3f1c96f7,SP reward for iBTC,2023-11-27,7,29-02-2024 21:45,01-12-2023 23:00
