,epoch,addr,purpose,date,amount,Expiration,AvailableAt
33,444,a179c06273cc4b1676137e136a2ef23e7cf4a3ea8b07f359a13f88a2,SP reward for iETH,18 October 2023,4471,20-01-2024 21:45,22-10-2023 23:00
34,444,8d995bf956bbf2a69b6549ca3a6830e9292b0d2641e9fa520d0f294d,SP reward for iETH,18 October 2023,108125,20-01-2024 21:45,22-10-2023 23:00
35,444,7a7fe8f80addd82b29adc3d5f017985c04c21eac82da3072fb95ba30,SP reward for iETH,18 October 2023,828,20-01-2024 21:45,22-10-2023 23:00
36,444,afd3aaa6c6cff952df201e8b6aa2e2e06e080f61f9fcbabc1997b42b,SP reward for iETH,18 October 2023,103313,20-01-2024 21:45,22-10-2023 23:00
37,444,57e5858c1df6db74f151486eedd33dec6790c38e79d12b69e2add37e,SP reward for iETH,18 October 2023,54609,20-01-2024 21:45,22-10-2023 23:00
38,444,206d0b9f1190d040970e6a139ec20333570c9f73098ab4f8c5772536,SP reward for iETH,18 October 2023,31495,20-01-2024 21:45,22-10-2023 23:00
39,444,241ecd4e529840fd1d3c3a44abf3e5f3d65c6312fa1203025234ade4,SP reward for iETH,18 October 2023,5117,20-01-2024 21:45,22-10-2023 23:00
40,444,7bca37d84a32420442867cc57a31d617763def3c9963f639c58ff001,SP reward for iETH,18 October 2023,257556,20-01-2024 21:45,22-10-2023 23:00
41,444,9913007f4d5d7d0bdfde593a74f1cc948368d29881aa3efab60a6338,SP reward for iETH,18 October 2023,31455,20-01-2024 21:45,22-10-2023 23:00
42,444,731c4e0664571b4ea0a1b9279f3b9dc10ae79bd38908a7b30ecefe22,SP reward for iETH,18 October 2023,438,20-01-2024 21:45,22-10-2023 23:00
43,444,8bb170899ad086aaf786240e8429aaae18448301ad0d2ab068d38f4a,SP reward for iETH,18 October 2023,1,20-01-2024 21:45,22-10-2023 23:00
44,444,c8ca667b94b226c0400fc4f3f8ce935ef841edd752b09fbf28b1cb16,SP reward for iETH,18 October 2023,8,20-01-2024 21:45,22-10-2023 23:00
45,444,84b2dddf4357c2589e7d431a055e3b0db4149b94240c63ecb1b676f2,SP reward for iETH,18 October 2023,10732859,20-01-2024 21:45,22-10-2023 23:00
46,444,6d6912b202d92f19e9b506ce91eb315f764d0eb5aaf86598b6408dd0,SP reward for iETH,18 October 2023,26841,20-01-2024 21:45,22-10-2023 23:00
47,444,93c8ee55e003b8ac9b1be4260e01d9f03ef35e8cb8ad07fc04c86f80,SP reward for iETH,18 October 2023,184433,20-01-2024 21:45,22-10-2023 23:00
48,444,243143a1edf725605b078e3660ccf3ef4811e54ce8d70b04ae15a4b0,SP reward for iETH,18 October 2023,148,20-01-2024 21:45,22-10-2023 23:00
49,444,512f425cedae5c11513155242686e5039b766c7ae798515b68a364e7,SP reward for iETH,18 October 2023,2766,20-01-2024 21:45,22-10-2023 23:00
50,444,ed3ceb224858d2a44bcae5c64c3f96bc3e80d85bc3347c5f156ae7ff,SP reward for iETH,18 October 2023,1,20-01-2024 21:45,22-10-2023 23:00
51,444,ccf0463efcfc0be16312d889a485c827392edb4bf32af4b43af4aad5,SP reward for iETH,18 October 2023,4677,20-01-2024 21:45,22-10-2023 23:00
52,444,38a6b071d8b300a0a8219cb49ae293024f466985a89f62d6188d0388,SP reward for iETH,18 October 2023,6665,20-01-2024 21:45,22-10-2023 23:00
53,444,b5f538b9bc03a2b72e11f5d02d4480cb5a8db857e1a730b1d4499ec4,SP reward for iETH,18 October 2023,3862073,20-01-2024 21:45,22-10-2023 23:00
54,444,0d4dfb08eb9de8c5610cecd9f1624a8f1bcd2775a9fa651631d44cd5,SP reward for iETH,18 October 2023,4278400,20-01-2024 21:45,22-10-2023 23:00
55,444,929695c172f6c2841df1482161ec1a2716ee2f166c27c86b20736e71,SP reward for iETH,18 October 2023,92507,20-01-2024 21:45,22-10-2023 23:00
56,444,4cb2eb343a9f29be1c2550732c532cf3d2a846cce4b12691379bdc70,SP reward for iETH,18 October 2023,8303,20-01-2024 21:45,22-10-2023 23:00
57,444,73a2384cb145aa11ef7c996728c5715f87b007368e1a4769853927ee,SP reward for iETH,18 October 2023,7165556,20-01-2024 21:45,22-10-2023 23:00
58,444,cef48e82717f374be93b1e5bccad65b68e9403e57dcec8f251b35455,SP reward for iETH,18 October 2023,51687505,20-01-2024 21:45,22-10-2023 23:00
59,444,b2cd3ac1116b5d4d2634eb51a832f9c99dd03abe51b9e05f463bde68,SP reward for iETH,18 October 2023,100012,20-01-2024 21:45,22-10-2023 23:00
60,444,bbc6d8e0a8f8fa47238a3df22e1b9a0e39a0de2330ba5b49d69a6bc0,SP reward for iETH,18 October 2023,549651,20-01-2024 21:45,22-10-2023 23:00
61,444,61cc93b6feaaf71fb0a4133fc103134b9e0057b17a96b5b8ab064345,SP reward for iETH,18 October 2023,533567,20-01-2024 21:45,22-10-2023 23:00
62,444,c05d3ab97abdcac7e81855b92b59afe40f18b059e9d8cceedc5ef511,SP reward for iETH,18 October 2023,61767,20-01-2024 21:45,22-10-2023 23:00
