,Period,Address,Purpose,Date,Amount,Expiration,AvailableAt
38,453,6b5976099e509e58d6d3d04d10a63bdc511b3de937dd839cfb876076,SP reward for iBTC,2023-12-02,251494,2024-03-05 21:45,2023-12-06 23:00
39,453,5174ab849efa5337d220c79f849aa39ee378cd42b3ea9a2cc55ff905,SP reward for iBTC,2023-12-02,5831,2024-03-05 21:45,2023-12-06 23:00
40,453,929695c172f6c2841df1482161ec1a2716ee2f166c27c86b20736e71,SP reward for iBTC,2023-12-02,1843,2024-03-05 21:45,2023-12-06 23:00
41,453,9db8dbdfc35cd01248d7ef8b323d76a072cc6ccec45aca38ddd3f99c,SP reward for iBTC,2023-12-02,219044,2024-03-05 21:45,2023-12-06 23:00
42,453,db9b636e1b467ad9fa1c99c5820477f235d024c6079471192b750ce4,SP reward for iBTC,2023-12-02,37,2024-03-05 21:45,2023-12-06 23:00
43,453,3cdcafabe8d5a88419c7cb447f0467d81cd4086c97b489b49ddd0dca,SP reward for iBTC,2023-12-02,135088,2024-03-05 21:45,2023-12-06 23:00
44,453,01bb74d6a09834970c7e1cb6883cfaecbd3982e7fcc8d24116deaa84,SP reward for iBTC,2023-12-02,1799,2024-03-05 21:45,2023-12-06 23:00
45,453,30f71e8f66d9f908f0a47173cccb4127341e557e9f3d9d60e0d60178,SP reward for iBTC,2023-12-02,1075299,2024-03-05 21:45,2023-12-06 23:00
46,453,289cee24fb86dd5d5b6f02c8ca80397e03fa83c086d6e698e3ec330b,SP reward for iBTC,2023-12-02,235,2024-03-05 21:45,2023-12-06 23:00
47,453,61cc93b6feaaf71fb0a4133fc103134b9e0057b17a96b5b8ab064345,SP reward for iBTC,2023-12-02,42459,2024-03-05 21:45,2023-12-06 23:00
48,453,31352abda9a60e8a89222a049834cdd603dcc4fa2f9f3dbfc0a0b25f,SP reward for iBTC,2023-12-02,2981,2024-03-05 21:45,2023-12-06 23:00
49,453,73064ed9d446fe559dea6a5c0484f4c4876d91e1d7442109f6815770,SP reward for iBTC,2023-12-02,220,2024-03-05 21:45,2023-12-06 23:00
50,453,63b3889ebf65aba913b3ca44031d7b2c59b04b0727c3f2e67d52d034,SP reward for iBTC,2023-12-02,37,2024-03-05 21:45,2023-12-06 23:00
51,453,8b542601309e158b422074b4a53ec9aa0f09a0b50f58bce55a68b4a0,SP reward for iBTC,2023-12-02,1263,2024-03-05 21:45,2023-12-06 23:00
52,453,7bfcb0b4a3974232c21fe4440a2befb5aff58093e9582c9d447c1e0d,SP reward for iBTC,2023-12-02,15,2024-03-05 21:45,2023-12-06 23:00
53,453,4385f6e1941b54b06ddfad16a7d19ee7f713d9f4fd7d3d9334b9b566,SP reward for iBTC,2023-12-02,95,2024-03-05 21:45,2023-12-06 23:00
54,453,11b4ac68cf0d110247dc7d2bc139c92fd7a21af0a798a913e06fecd1,SP reward for iBTC,2023-12-02,37899,2024-03-05 21:45,2023-12-06 23:00
55,453,ae17e9f63022e30bddc7f2c9189140dfdc434af23e26f37f75394229,SP reward for iBTC,2023-12-02,6381,2024-03-05 21:45,2023-12-06 23:00
56,453,08abc365d15eb5a450ff8ed2a6207bfa3cb5a0df4ec1ddd0e6636026,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
57,453,53313be7f4738a1ad1554126858d052f318ccbf66d88b5016e9155d5,SP reward for iBTC,2023-12-02,338,2024-03-05 21:45,2023-12-06 23:00
58,453,8d995bf956bbf2a69b6549ca3a6830e9292b0d2641e9fa520d0f294d,SP reward for iBTC,2023-12-02,171408,2024-03-05 21:45,2023-12-06 23:00
59,453,5f9483631a382320cd149d20a120f71c1f8c7030b72408f44fccd795,SP reward for iBTC,2023-12-02,15,2024-03-05 21:45,2023-12-06 23:00
60,453,243143a1edf725605b078e3660ccf3ef4811e54ce8d70b04ae15a4b0,SP reward for iBTC,2023-12-02,4986,2024-03-05 21:45,2023-12-06 23:00
61,453,8ced098872686355fd3accc2329d595bf2ac9c6e7e981a8bc89d4540,SP reward for iBTC,2023-12-02,36151,2024-03-05 21:45,2023-12-06 23:00
62,453,6f860cd15e7d9a0fe71735b338fa4ad81e418ddaae95928bd2994fc1,SP reward for iBTC,2023-12-02,1896423,2024-03-05 21:45,2023-12-06 23:00
63,453,4647b9163e069f291328c22c76051780a8e8616e00354aa8cbc5cf6e,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
64,453,222afda7939e082f26e12d2ce9cf584b44538b31a60e2e1f3f333821,SP reward for iBTC,2023-12-02,646,2024-03-05 21:45,2023-12-06 23:00
65,453,71b03bb1f2db64f230e74c08d8bee62313660b1bf9649fbc28f690bc,SP reward for iBTC,2023-12-02,50463,2024-03-05 21:45,2023-12-06 23:00
66,453,96ea86b6481fa765de3718fae818186c426d848761d5e574b5d9078d,SP reward for iBTC,2023-12-02,159512,2024-03-05 21:45,2023-12-06 23:00
67,453,c05d3ab97abdcac7e81855b92b59afe40f18b059e9d8cceedc5ef511,SP reward for iBTC,2023-12-02,9752,2024-03-05 21:45,2023-12-06 23:00
68,453,ad4c1b0b50a32c00b7798cc93a249f5702d7e23c91601657d52c56ad,SP reward for iBTC,2023-12-02,74851,2024-03-05 21:45,2023-12-06 23:00
69,453,b485a4652f1572808586882af82ef45d6219992c2b3dc68412fa6502,SP reward for iBTC,2023-12-02,74880,2024-03-05 21:45,2023-12-06 23:00
70,453,1989462784de66a8e08b553e196bb609d62853586a741ce3abb34e13,SP reward for iBTC,2023-12-02,73198,2024-03-05 21:45,2023-12-06 23:00
71,453,f393547fdc57f678fdd9827cb603e9a60d57282bd37416a327094f56,SP reward for iBTC,2023-12-02,49509,2024-03-05 21:45,2023-12-06 23:00
72,453,945cd17ae5a96a439a8191283c8459e67ab18c7e2d93fa1dfce4671c,SP reward for iBTC,2023-12-02,7226,2024-03-05 21:45,2023-12-06 23:00
73,453,4484d456440c1956679e21e1d66e924d649c00666227046c3f1c96f7,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
74,453,53494b753f7670d751b575f6d4559aeb0d1a55e8e1b60a85e73e2df0,SP reward for iBTC,2023-12-02,30776,2024-03-05 21:45,2023-12-06 23:00
75,453,54305958538cfe7e957863cc9f844dd6eedb9a0e654df4405636a554,SP reward for iBTC,2023-12-02,4832,2024-03-05 21:45,2023-12-06 23:00
76,453,5f7d1aba60a090039edbb0294ccb27d3617a8827396b292ee49dec9f,SP reward for iBTC,2023-12-02,15024,2024-03-05 21:45,2023-12-06 23:00
77,453,9ec26f63bfe50214282ef7ab89765bb7d647271ab7952de6815fbc19,SP reward for iBTC,2023-12-02,4457,2024-03-05 21:45,2023-12-06 23:00
78,453,9430bd1b6d9bf6308dec0be93790ab927ac721606a76b52a7cf26ae6,SP reward for iBTC,2023-12-02,15443,2024-03-05 21:45,2023-12-06 23:00
79,453,92cc4d0251f53a24f5366fb898c1681fee4d41123eab48bca6293ba1,SP reward for iBTC,2023-12-02,47541,2024-03-05 21:45,2023-12-06 23:00
80,453,529828b5fb8e3347ffc11e615fead9d06250f5457c828595bba6d3ba,SP reward for iBTC,2023-12-02,250158,2024-03-05 21:45,2023-12-06 23:00
81,453,30f730fb260aed1721ae7ec3d6ba003509bc8d125ddbf93ddf51cfac,SP reward for iBTC,2023-12-02,4274,2024-03-05 21:45,2023-12-06 23:00
82,453,a2b3fc71aa466e489bef35c30ca8b4a9388f701ab0cd73c9c81a5409,SP reward for iBTC,2023-12-02,14503,2024-03-05 21:45,2023-12-06 23:00
83,453,8bb9c1842b5df8a44359e65982adb4d2a7d0cb745a2b8488592e3d9f,SP reward for iBTC,2023-12-02,20576,2024-03-05 21:45,2023-12-06 23:00
84,453,06126a123250e0920b44678709da9d6d06d9edca5ecc7c532ac49aad,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
85,453,12f84d27cceeee594ed1f7928398c1653346becbbc159e80556cc6fd,SP reward for iBTC,2023-12-02,29197,2024-03-05 21:45,2023-12-06 23:00
86,453,1434b0f9b0d42bdfe065dfbde6089def626c28128e2b25234b8409db,SP reward for iBTC,2023-12-02,4568,2024-03-05 21:45,2023-12-06 23:00
87,453,a61e01183e93a2bd0cb1ee515fe8c652c33404cb1643c0bb5867cd63,SP reward for iBTC,2023-12-02,3128,2024-03-05 21:45,2023-12-06 23:00
88,453,e1a70a14406e84b401683a3b044d3fc7dbec76833c7e7e934585b678,SP reward for iBTC,2023-12-02,263655,2024-03-05 21:45,2023-12-06 23:00
89,453,9bf780683ee09b92d00a465c519ef7febf74a26e6ff45fd9af96e496,SP reward for iBTC,2023-12-02,81122,2024-03-05 21:45,2023-12-06 23:00
90,453,514ec5e427280c6bca6a0d79dea12bc793673a7241ba8f6f982a542e,SP reward for iBTC,2023-12-02,26341,2024-03-05 21:45,2023-12-06 23:00
91,453,d5783eeb99454513796d07833a55b33d041157aa2557f641d50b7f13,SP reward for iBTC,2023-12-02,51,2024-03-05 21:45,2023-12-06 23:00
92,453,ad122b9fa3ab86495712afd2a6f655430427c2cf21a54fd0c8fe8e63,SP reward for iBTC,2023-12-02,53562,2024-03-05 21:45,2023-12-06 23:00
93,453,5b57fb20f89e6a300ba3160a8339a32e0ea1751c776d874df2154527,SP reward for iBTC,2023-12-02,1351,2024-03-05 21:45,2023-12-06 23:00
94,453,637d1f755c749370501adf2605aed6c5ecf198e037a12ed3bfc02f89,SP reward for iBTC,2023-12-02,7571,2024-03-05 21:45,2023-12-06 23:00
95,453,10bc27afabbda7fc02b15506968725e6af86ff6932f30a128d1d2f9e,SP reward for iBTC,2023-12-02,16236,2024-03-05 21:45,2023-12-06 23:00
96,453,5d4a3c04c9a3115bf18cc6a37a4388050eadb756253bedf452d8efa2,SP reward for iBTC,2023-12-02,102711,2024-03-05 21:45,2023-12-06 23:00
97,453,856d18a37ff1be2074f1904f3db9d2d45ea8badc88a3ff443836b97e,SP reward for iBTC,2023-12-02,35887,2024-03-05 21:45,2023-12-06 23:00
98,453,a33c563393379855e9b6f66e6830ceac659fac8982b06d4128b21722,SP reward for iBTC,2023-12-02,2658,2024-03-05 21:45,2023-12-06 23:00
99,453,5d464f67736cef9286be8854cdd17fdceeca017d2b0bb56c76db64f2,SP reward for iBTC,2023-12-02,114615,2024-03-05 21:45,2023-12-06 23:00
100,453,e1dabf1e8691c018fda047487415acf4ed06b874cc7e2bb639dd1845,SP reward for iBTC,2023-12-02,7145,2024-03-05 21:45,2023-12-06 23:00
101,453,63d62b85ce675ee25e9e0da4c846d9843afc136a494b52ccdc2e48e2,SP reward for iBTC,2023-12-02,22,2024-03-05 21:45,2023-12-06 23:00
102,453,f6babe82e81a1d51f5e4368647e69d71363450dec2d259c239658201,SP reward for iBTC,2023-12-02,35388,2024-03-05 21:45,2023-12-06 23:00
103,453,5310a7c00c573d9400459ad061211250ce8c164a1b657d952003f32e,SP reward for iBTC,2023-12-02,100589,2024-03-05 21:45,2023-12-06 23:00
104,453,e2a3bc9f398b6f1efe80bf7a1293dfd4c04ea81867ff0a897cb5eacd,SP reward for iBTC,2023-12-02,62132,2024-03-05 21:45,2023-12-06 23:00
105,453,144a91af110e1f266e04a5fc28a41d897523570b8c8ca12724be3b64,SP reward for iBTC,2023-12-02,18983,2024-03-05 21:45,2023-12-06 23:00
106,453,ccf0463efcfc0be16312d889a485c827392edb4bf32af4b43af4aad5,SP reward for iBTC,2023-12-02,18336,2024-03-05 21:45,2023-12-06 23:00
107,453,35b5123df5bdeca9a3899f0b9d6581d29ef0b8f1f177a9809a4f5203,SP reward for iBTC,2023-12-02,985137,2024-03-05 21:45,2023-12-06 23:00
108,453,5d1ae8825555ff8847263b4cad9c1fd8b9b7d6f788dddd71a34f23fe,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
109,453,ecf6df3e564fb3214117ff1ba3fb4532e6d1f2fb80c0015027b291b8,SP reward for iBTC,2023-12-02,470,2024-03-05 21:45,2023-12-06 23:00
110,453,374b46ff0fc4f269f31c99a12c82159a58207c3e686c437d57dad408,SP reward for iBTC,2023-12-02,76606,2024-03-05 21:45,2023-12-06 23:00
111,453,bdf1507fde82b8d0513273600289002f05e0caab85d28a804ec36a73,SP reward for iBTC,2023-12-02,2636,2024-03-05 21:45,2023-12-06 23:00
112,453,5277d320e4e981971f75599c3c15bc0abebbdb6aea9cbadccb16bff1,SP reward for iBTC,2023-12-02,76407,2024-03-05 21:45,2023-12-06 23:00
113,453,aee02fa77ebc7ddf3c93a8d3afe0d44d94a9d81d4d26684c49f25cf2,SP reward for iBTC,2023-12-02,102719,2024-03-05 21:45,2023-12-06 23:00
114,453,308ee07a2d9f4a8cb93dffdbfd031413b4e8f5e55218c099e6f131ea,SP reward for iBTC,2023-12-02,135624,2024-03-05 21:45,2023-12-06 23:00
115,453,cbd45719e9d7a6332688ac3ad8bcec87def6bb55174662ee16b5fa61,SP reward for iBTC,2023-12-02,92049,2024-03-05 21:45,2023-12-06 23:00
116,453,451fe314c4e9a41bb5804455fb4057afc1cbf2b74cde2d3d737b3354,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
117,453,ee5592e3bff712a914258c52f57873c0cfc73a7b2c25008fedbcdf9d,SP reward for iBTC,2023-12-02,6345,2024-03-05 21:45,2023-12-06 23:00
118,453,117a220650f577db973565412c705745e0cac69c796d137e977267a0,SP reward for iBTC,2023-12-02,66,2024-03-05 21:45,2023-12-06 23:00
119,453,a6c6b85a1faea3c830ff6410fa94503a0deff927429be8fea8ecfe1c,SP reward for iBTC,2023-12-02,10347,2024-03-05 21:45,2023-12-06 23:00
120,453,a076e24a67c4906b17ede60183d0478e4d95431c5a227f3d35c4e8dc,SP reward for iBTC,2023-12-02,3150,2024-03-05 21:45,2023-12-06 23:00
121,453,dc2f8d28b7b68eea544d5f052410ca6a34a5e6e811ef13496e156dda,SP reward for iBTC,2023-12-02,25202,2024-03-05 21:45,2023-12-06 23:00
122,453,7b0d6609ff14368ecd1a39d4d737292d2e348cb35801e0fea067f5ce,SP reward for iBTC,2023-12-02,339468,2024-03-05 21:45,2023-12-06 23:00
123,453,e9558a5fc36f0f9794e7810b3773d63556795a00e9aba9584532a2fa,SP reward for iBTC,2023-12-02,570342,2024-03-05 21:45,2023-12-06 23:00
124,453,ea79af332a33e08d0180ace4940a4bba5e9040ea76bf0f8a884279cd,SP reward for iBTC,2023-12-02,9906,2024-03-05 21:45,2023-12-06 23:00
125,453,42cad31cebab15afa9009d990b34374946246b0ffa50405d811ea6fb,SP reward for iBTC,2023-12-02,34492,2024-03-05 21:45,2023-12-06 23:00
126,453,07870a95cc8ef51c6813a07f93b76c9e920640902bf176855333a03e,SP reward for iBTC,2023-12-02,65738,2024-03-05 21:45,2023-12-06 23:00
127,453,9c9cfb0162ad71b2ea61e82aa7676826d3bb5a58eb5f005b68a4c8da,SP reward for iBTC,2023-12-02,675234,2024-03-05 21:45,2023-12-06 23:00
128,453,698ceb483c24a183e0a9efbb33b25789c41494082421f4df6c75803e,SP reward for iBTC,2023-12-02,119821,2024-03-05 21:45,2023-12-06 23:00
129,453,38a6b071d8b300a0a8219cb49ae293024f466985a89f62d6188d0388,SP reward for iBTC,2023-12-02,6712,2024-03-05 21:45,2023-12-06 23:00
