,epoch,addr,purpose,date,amount,Expiration,AvailableAt
0,442,198836d653f267dfed06bd383b80539c50f3ab6d6e7e0de11d9b723e,SP reward for iETH,08 October 2023,689,10-01-2024 21:45,12-10-2023 23:00
1,442,43b8e3375ecf90169230d91ce92863d0b041ed4c8668cc87d17ea980,SP reward for iETH,08 October 2023,3355,10-01-2024 21:45,12-10-2023 23:00
2,442,58565b9a0b90f766dad48a3cb365453b452565ecb6773a55a5517b48,SP reward for iETH,08 October 2023,438741,10-01-2024 21:45,12-10-2023 23:00
3,442,405966152e910c43c45f1d21d8420d7ce66c604b9750824741970780,SP reward for iETH,08 October 2023,353,10-01-2024 21:45,12-10-2023 23:00
4,442,4199f4bb58f9b3c60dec5310a8326d46c90318b83d2e96ff45f30bf1,SP reward for iETH,08 October 2023,23,10-01-2024 21:45,12-10-2023 23:00
5,442,f9f1d44d00b15f63b1aac48dd4e3b4738bec1c79cef84b67ef5c69e4,SP reward for iETH,08 October 2023,375,10-01-2024 21:45,12-10-2023 23:00
6,442,bdb8c089708bb3dd3c626bb9a286a3aacbf77517b9643161db4a1452,SP reward for iETH,08 October 2023,61,10-01-2024 21:45,12-10-2023 23:00
7,442,117a220650f577db973565412c705745e0cac69c796d137e977267a0,SP reward for iETH,08 October 2023,1,10-01-2024 21:45,12-10-2023 23:00
8,442,ad122b9fa3ab86495712afd2a6f655430427c2cf21a54fd0c8fe8e63,SP reward for iETH,08 October 2023,72475,10-01-2024 21:45,12-10-2023 23:00
9,442,2e1573f020d7dc42fb1befd459287f0e620fb799cee111e43c50d676,SP reward for iETH,08 October 2023,10978,10-01-2024 21:45,12-10-2023 23:00
10,442,ed3122194af84dbc350676f420b1927209b40cf0d239ec26a5cc8623,SP reward for iETH,08 October 2023,225832,10-01-2024 21:45,12-10-2023 23:00
11,442,5016a30bc3c1a609d20be6cd2ea1f87bf5b49bcf2f8ecdb1d21cceff,SP reward for iETH,08 October 2023,1,10-01-2024 21:45,12-10-2023 23:00
12,442,bffe2a2f3dde97b96f94f5cdde3957828c61db930faba0e4b2afbb46,SP reward for iETH,08 October 2023,44231,10-01-2024 21:45,12-10-2023 23:00
13,442,435ac6984516a80bf6a9e7d16ba8431add7b4f44083131ab8dce0097,SP reward for iETH,08 October 2023,82491,10-01-2024 21:45,12-10-2023 23:00
14,442,8b542601309e158b422074b4a53ec9aa0f09a0b50f58bce55a68b4a0,SP reward for iETH,08 October 2023,15706,10-01-2024 21:45,12-10-2023 23:00
15,442,6efc2b7d458837222c6305866822d7d3039f9b436dc7eeda2ebabd4e,SP reward for iETH,08 October 2023,4863,10-01-2024 21:45,12-10-2023 23:00
16,442,ce6885bef0ae899503bec94142f5c2d8f8d25973ddb50e1c5dca5c1e,SP reward for iETH,08 October 2023,811,10-01-2024 21:45,12-10-2023 23:00
17,442,7bfcb0b4a3974232c21fe4440a2befb5aff58093e9582c9d447c1e0d,SP reward for iETH,08 October 2023,425,10-01-2024 21:45,12-10-2023 23:00
18,442,89d095d531c5d92be599e65bfe27c44652b2cf99b72a332427e9d8a2,SP reward for iETH,08 October 2023,25397,10-01-2024 21:45,12-10-2023 23:00
19,442,42a1f1254b83222880c10986170dff3d174299a9b6601511d369a189,SP reward for iETH,08 October 2023,206100,10-01-2024 21:45,12-10-2023 23:00
20,442,93fb8feafbe7b27f8ccddb6c42676e5c85698c605c6627728507d8fc,SP reward for iETH,08 October 2023,562,10-01-2024 21:45,12-10-2023 23:00
21,442,19c1be2fd0ce6e32cde0185dd60a56edc288d8de6243c1ca4e569f51,SP reward for iETH,08 October 2023,76,10-01-2024 21:45,12-10-2023 23:00
22,442,d1b4a2e733c66382f3c60bf7a43803b57e44c07d5efe87bf8c4185ee,SP reward for iETH,08 October 2023,79735,10-01-2024 21:45,12-10-2023 23:00
23,442,70412db01246a610b0e448401967f8c79afad0c1eda5cc75b2c252f7,SP reward for iETH,08 October 2023,1064,10-01-2024 21:45,12-10-2023 23:00
24,442,875b60897b0b855c13d7cab2fa168fe63bce45ed7e657bdd951b5972,SP reward for iETH,08 October 2023,34424,10-01-2024 21:45,12-10-2023 23:00
25,442,84e650cc71a2cc4a1e57241565b32d0b24ba3ed2a8726bbd11c76ef7,SP reward for iETH,08 October 2023,16083,10-01-2024 21:45,12-10-2023 23:00
26,442,4e5426811df99e191ae0bc3eca64836e561a07d1623b16f94828240b,SP reward for iETH,08 October 2023,2,10-01-2024 21:45,12-10-2023 23:00
27,442,2b3f8ce415f63a81454d53882a00a4d2225e1284c257a8b14ecb4c22,SP reward for iETH,08 October 2023,1,10-01-2024 21:45,12-10-2023 23:00
28,442,af91dcc8800fad79990ad47efc93335efb93b85b15f01ad0570b0924,SP reward for iETH,08 October 2023,97462,10-01-2024 21:45,12-10-2023 23:00
29,442,8707ca72180e998be7256d3ca209f1018ee51fc9f9e1d55fd1d962ae,SP reward for iETH,08 October 2023,1516,10-01-2024 21:45,12-10-2023 23:00
30,442,aa67df191de68ac9224c3425b62b628becbb3d001d0ba78f1dacac4e,SP reward for iETH,08 October 2023,14,10-01-2024 21:45,12-10-2023 23:00
31,442,609ec540fc0fe4aa910919d0f5a2a5dfda7db6cb7f9b4c73c285bb22,SP reward for iETH,08 October 2023,33103,10-01-2024 21:45,12-10-2023 23:00
32,442,38182d9874dbabb161ffff5e21c81a58b8134ff7f34f2407903dba6c,SP reward for iETH,08 October 2023,5428,10-01-2024 21:45,12-10-2023 23:00
33,442,bbc489f4c0a227930bdf92a3fd265427280735a5254c1de2120276f8,SP reward for iETH,08 October 2023,69920,10-01-2024 21:45,12-10-2023 23:00
34,442,a179c06273cc4b1676137e136a2ef23e7cf4a3ea8b07f359a13f88a2,SP reward for iETH,08 October 2023,4431,10-01-2024 21:45,12-10-2023 23:00
35,442,8d995bf956bbf2a69b6549ca3a6830e9292b0d2641e9fa520d0f294d,SP reward for iETH,08 October 2023,107162,10-01-2024 21:45,12-10-2023 23:00
36,442,7a7fe8f80addd82b29adc3d5f017985c04c21eac82da3072fb95ba30,SP reward for iETH,08 October 2023,820,10-01-2024 21:45,12-10-2023 23:00
37,442,afd3aaa6c6cff952df201e8b6aa2e2e06e080f61f9fcbabc1997b42b,SP reward for iETH,08 October 2023,102393,10-01-2024 21:45,12-10-2023 23:00
38,442,57e5858c1df6db74f151486eedd33dec6790c38e79d12b69e2add37e,SP reward for iETH,08 October 2023,54122,10-01-2024 21:45,12-10-2023 23:00
39,442,206d0b9f1190d040970e6a139ec20333570c9f73098ab4f8c5772536,SP reward for iETH,08 October 2023,31215,10-01-2024 21:45,12-10-2023 23:00
40,442,241ecd4e529840fd1d3c3a44abf3e5f3d65c6312fa1203025234ade4,SP reward for iETH,08 October 2023,5072,10-01-2024 21:45,12-10-2023 23:00
41,442,7bca37d84a32420442867cc57a31d617763def3c9963f639c58ff001,SP reward for iETH,08 October 2023,255261,10-01-2024 21:45,12-10-2023 23:00
42,442,9913007f4d5d7d0bdfde593a74f1cc948368d29881aa3efab60a6338,SP reward for iETH,08 October 2023,31175,10-01-2024 21:45,12-10-2023 23:00
43,442,731c4e0664571b4ea0a1b9279f3b9dc10ae79bd38908a7b30ecefe22,SP reward for iETH,08 October 2023,435,10-01-2024 21:45,12-10-2023 23:00
44,442,8bb170899ad086aaf786240e8429aaae18448301ad0d2ab068d38f4a,SP reward for iETH,08 October 2023,1,10-01-2024 21:45,12-10-2023 23:00
45,442,c8ca667b94b226c0400fc4f3f8ce935ef841edd752b09fbf28b1cb16,SP reward for iETH,08 October 2023,8,10-01-2024 21:45,12-10-2023 23:00
46,442,84b2dddf4357c2589e7d431a055e3b0db4149b94240c63ecb1b676f2,SP reward for iETH,08 October 2023,10637248,10-01-2024 21:45,12-10-2023 23:00
47,442,a33c563393379855e9b6f66e6830ceac659fac8982b06d4128b21722,SP reward for iETH,08 October 2023,5790,10-01-2024 21:45,12-10-2023 23:00
48,442,6d6912b202d92f19e9b506ce91eb315f764d0eb5aaf86598b6408dd0,SP reward for iETH,08 October 2023,26602,10-01-2024 21:45,12-10-2023 23:00
49,442,93c8ee55e003b8ac9b1be4260e01d9f03ef35e8cb8ad07fc04c86f80,SP reward for iETH,08 October 2023,182790,10-01-2024 21:45,12-10-2023 23:00
50,442,243143a1edf725605b078e3660ccf3ef4811e54ce8d70b04ae15a4b0,SP reward for iETH,08 October 2023,147,10-01-2024 21:45,12-10-2023 23:00
51,442,512f425cedae5c11513155242686e5039b766c7ae798515b68a364e7,SP reward for iETH,08 October 2023,2741,10-01-2024 21:45,12-10-2023 23:00
52,442,ed3ceb224858d2a44bcae5c64c3f96bc3e80d85bc3347c5f156ae7ff,SP reward for iETH,08 October 2023,1,10-01-2024 21:45,12-10-2023 23:00
53,442,ccf0463efcfc0be16312d889a485c827392edb4bf32af4b43af4aad5,SP reward for iETH,08 October 2023,4635,10-01-2024 21:45,12-10-2023 23:00
54,442,38a6b071d8b300a0a8219cb49ae293024f466985a89f62d6188d0388,SP reward for iETH,08 October 2023,6606,10-01-2024 21:45,12-10-2023 23:00
55,442,b5f538b9bc03a2b72e11f5d02d4480cb5a8db857e1a730b1d4499ec4,SP reward for iETH,08 October 2023,3827669,10-01-2024 21:45,12-10-2023 23:00
56,442,0d4dfb08eb9de8c5610cecd9f1624a8f1bcd2775a9fa651631d44cd5,SP reward for iETH,08 October 2023,4240287,10-01-2024 21:45,12-10-2023 23:00
57,442,929695c172f6c2841df1482161ec1a2716ee2f166c27c86b20736e71,SP reward for iETH,08 October 2023,91683,10-01-2024 21:45,12-10-2023 23:00
58,442,d5783eeb99454513796d07833a55b33d041157aa2557f641d50b7f13,SP reward for iETH,08 October 2023,8878,10-01-2024 21:45,12-10-2023 23:00
59,442,4cb2eb343a9f29be1c2550732c532cf3d2a846cce4b12691379bdc70,SP reward for iETH,08 October 2023,8230,10-01-2024 21:45,12-10-2023 23:00
60,442,73a2384cb145aa11ef7c996728c5715f87b007368e1a4769853927ee,SP reward for iETH,08 October 2023,7101723,10-01-2024 21:45,12-10-2023 23:00
61,442,cef48e82717f374be93b1e5bccad65b68e9403e57dcec8f251b35455,SP reward for iETH,08 October 2023,51227061,10-01-2024 21:45,12-10-2023 23:00
62,442,b2cd3ac1116b5d4d2634eb51a832f9c99dd03abe51b9e05f463bde68,SP reward for iETH,08 October 2023,99121,10-01-2024 21:45,12-10-2023 23:00
63,442,bbc6d8e0a8f8fa47238a3df22e1b9a0e39a0de2330ba5b49d69a6bc0,SP reward for iETH,08 October 2023,544755,10-01-2024 21:45,12-10-2023 23:00
64,442,61cc93b6feaaf71fb0a4133fc103134b9e0057b17a96b5b8ab064345,SP reward for iETH,08 October 2023,528814,10-01-2024 21:45,12-10-2023 23:00
65,442,c05d3ab97abdcac7e81855b92b59afe40f18b059e9d8cceedc5ef511,SP reward for iETH,08 October 2023,61216,10-01-2024 21:45,12-10-2023 23:00
66,442,20e9a6827fc11c89ad4f49e9b36cf80b55c5650eb397b1a9507dde2b,SP reward for iETH,08 October 2023,5404,10-01-2024 21:45,12-10-2023 23:00
67,442,4fef1de46ca4dffc70cafbce94918dc9e28000d395411532f418a73d,SP reward for iETH,08 October 2023,68503,10-01-2024 21:45,12-10-2023 23:00
68,442,fc5543c66855df3872fc1c6bedbd95bb592feb158a7656d0964358b1,SP reward for iETH,08 October 2023,13479,10-01-2024 21:45,12-10-2023 23:00
69,442,476b50ba222061304df4ef1e7da2a370fc1a452f4100e862d5555269,SP reward for iETH,08 October 2023,27505,10-01-2024 21:45,12-10-2023 23:00
70,442,96fcd31985e22ce4ab339cd92f94a5e54e5ddb4880f0a3a6c6ccb2f5,SP reward for iETH,08 October 2023,13330,10-01-2024 21:45,12-10-2023 23:00
71,442,d2a9e3449671da65c467670745d3d5ba2f2f261187808191a95710cf,SP reward for iETH,08 October 2023,18136,10-01-2024 21:45,12-10-2023 23:00
72,442,9a278ffaf46bf70581b4d7914236ad05ee20ee98c7c73158bbc60a3b,SP reward for iETH,08 October 2023,39309,10-01-2024 21:45,12-10-2023 23:00
73,442,e1fe8c18060b61725fc639e6ed11f31323da2cc773f048910a4634da,SP reward for iETH,08 October 2023,104339,10-01-2024 21:45,12-10-2023 23:00
74,442,d4da2d85527b6622fb0dfae1fda83de879b7cd969bf5ff96e9ba3aa6,SP reward for iETH,08 October 2023,283895,10-01-2024 21:45,12-10-2023 23:00
75,442,ef375afc54458f274bd07dec902e981a581fb46d4ab6d996e40b5bb0,SP reward for iETH,08 October 2023,111362,10-01-2024 21:45,12-10-2023 23:00
76,442,aceab5cd6d083ab7388b8487f260c514770460bd9809196d455c7150,SP reward for iETH,08 October 2023,566332,10-01-2024 21:45,12-10-2023 23:00
77,442,3942f959c4dacb2bb80d5854e6b2a304601ad692ce27a6040806de62,SP reward for iETH,08 October 2023,65524,10-01-2024 21:45,12-10-2023 23:00
78,442,dbf62020c6e458cd78ab8e4726fbc766b60c9a473918a5afb8784f4f,SP reward for iETH,08 October 2023,15847,10-01-2024 21:45,12-10-2023 23:00
79,442,a4bb846ef68110900c05f24352c1648db506ec921bf6011e61e01684,SP reward for iETH,08 October 2023,59043,10-01-2024 21:45,12-10-2023 23:00
80,442,73064ed9d446fe559dea6a5c0484f4c4876d91e1d7442109f6815770,SP reward for iETH,08 October 2023,2,10-01-2024 21:45,12-10-2023 23:00
81,442,cd193a0e787cfd42924e2432b5d4b74a19c1bdcb210d44faa6ed875b,SP reward for iETH,08 October 2023,41788,10-01-2024 21:45,12-10-2023 23:00
82,442,75463feb9358b4187d202bc5b8a3d96df6f8c2416495350e8519a3e2,SP reward for iETH,08 October 2023,39019,10-01-2024 21:45,12-10-2023 23:00
