owner,indy_staked
06efd1d2dfa9f2121644765e0bf1d3c2ccc3db6084ef3724de2e901c,50812040
5706ea516b1a0f350b6876b84e02317af4c8b886c74562d9d9cb1764,42811138
13a1d9bb7849716bd993b520f975175ae1b6720fec18dab37435d095,105630031
1a6ad2d19e7fdd03bd012f4a96cbfbbfe89183735cd8b16ac854a121,255000000
9b6747eb7991dc0a8b5fa0192ce9431a85b2c64b3c4db6dd31415ea6,177456463
2af7e79b4c9ffc29fc6f7707b77609868df3f0af5b457272c59413b6,100477746
297a875e4ef78f68ce4962b478f389ca0c4f85b14ceebf841a51af1b,50000000
4d4246c81633efbd83760e559534edcc35830e9f84ad4fe9aa0c10ea,10000000
a047569358e6352e6713799b727eeb9f160256a74ab94a0ea8cd1e6d,60200803
ec1b44fc79a230aa26947b8341a0649f049ecf26a48177a990efc430,25200803
e2759266f8550de0789d43375265e9c4f82c017e26b6f7275407acaf,146622780
81b9a0a03bc7fdf55630aa5fccd232cb4ca6f971a11bb174d307852a,159446001
d241cab10e6a715e9f1c2caec558e97220c48e86b7c14609aa88e5df,5000000
5b1af46cec17d48b26b69b2e643ccd5bece471f4954aeb14bea90586,55200803
085e11996c8e8b9130172167a57884ea082e5424d0907f5be39ff71a,50000000
96700814f5d8d43bbcbd1bf9cbc9f6962211a552b1d8bf8435f082ed,123391163
23d61360dc8643e3e24d596c728267db0c3e4482a8b427aab33cda5e,176585899
6a39cb26c6a2823249a00a767353304514a5ceadccdc570d602910df,53794242
65cd766d46f62eab67d9b1a65439c024d447ec9d16411f69728a1ece,55200803
d265bdf43b37bdd3bb3f359fc3812f1bbd89bb9dd41669bc077f0517,50000000
2ef4c3d711d1a7adab1a24a04856a191a3a162dc844c039eba9adbe6,109396837
32cbdbd2f9f64649fcef5351f7270a491d0948d64e12cdaebee8c73a,50086805
4696b3621f84549576ad7ab01896ee3c7f8cbc21702123c6b22301c0,14555669
6cfe83b6cb535525f2403c53db3036ca11e0de496365a762f2ae261b,59327118
3d6e46df3ed362c84cae2d3baa5c9928b77a4a57e67a9160bb29ef06,82687553
8fee6a42565c9c1ebe2fb3caf8c3f6590df4a8aa40aa37fd672605dd,15518732
2a1da1152bd324d06ec3c70259c5d12b6f1d51b55ebb10680b4af4b1,87119797
10bc27afabbda7fc02b15506968725e6af86ff6932f30a128d1d2f9e,10411581
37b71ac0ef9f036e2ea10cb7b315aff8fc30dcf982325bb5daa176b0,78184553
7f7147d6af61e9c199387c5afb74d8fb307390dd7fb9853be1fc5764,204900790
6e11f9b5796c4230395263b6a595123e4d2a6884b1221a75680bf77d,10566720
55c68b3f96b346aaf600bda925aa29fcb4cac6c835ab16647eb13ff1,359403595
597f95da769ea4d957262de8280c653109cb3b72d5ebf25e894a16e0,3577552
0828ade7d9428876467aa4b687e6f238d9709264ab55d52b9fcd7259,215091463
23b7c8d3ae97e99296c08589879b5aae794ac1839127ce69cdab699d,137651655
4658b8100b35620ec4e82e9926564ad4401136490745d40ef707496b,71794460
867fe7a72474f0196492264be02bbafeb93d0f2b3ad356035ec416ad,507592449
3872bbc9ab42934449e0806d376c7fe16177b4fd781edf43e0703f21,21500000
0410da49851ad1edabee6f556956712b6420d4374974d1b6affb92a8,241852466
0b946323e03134a33d33f3eed7495a9ca6e2355e05c86612a109a802,245303212
3de5bd9affd4d3a8f02cdf5c1fc30889db7338396507f4309c1c48b3,79000000
019f3d35ef1c1067784c46f9b165150919cdefda177dd301af373051,63564463
5cd23593bd25f37c6b659b6f209057059e21e6c00d1de32f38a0d52b,108826284
feb4a300e0e8f53bbd2af15ae2a717cd3f298f0f2266c07dc9632dc7,33500000
7904815d0e98aed4060226763de69217ae5d863e7a7cd71634d64987,160602409
16407571c73f0b9ace7db533ff0bf0a264274c61744c0970ef763834,266050211
84615b89d9bf1caa3039d56af2ba6bd8ca96a52d12260d3bd5a09be7,13451651
a587d605bf0b944669d364b5d4ef8a65f7d3b42f79391eaae06ee27b,59152151
f28382adfa047a0f4258f6ebe2dc27f1b31852ad0afa692e553d75e0,65000000
a94b423127f9e54573e444e9a00bc75145f9cf49b335bc90687c5062,167000000
7de337d83081a32aebfcd1e0d193a2bc16a27bd6b79d4cae868e10ef,50000000
f02744e07f65bc9f2a1a4cffac83e0b0e7777c6d47bceb5f8efad5f4,50550112
559d23a5db8f1b809ba9b48e7504582c96af34f68495f3ed51b2cce5,72573395
60aa4eb9f3d2abdf9816fa92d3df26477de6be0f8f22ae7f9b68f897,6468750
e8096fa0939b50664cfcd14160b4f430209276080e3251df471d7d67,55200803
332640ca63bf1c45ca8f5beafe24f3e68887f052b3a03914e2efd235,103370007
2e5ed489929f510238920c7f020b9272a515513af6ce42e24a91b119,5000000
1abee0dc37ab9713dbf5c6f2da802d9fd283f3204438daf163a42103,11184717
fd9c14b6afa1d70967da46892a015ff2d22f958c0aed06bd5a1d44ff,57755290
7f229d11a2d8ab02999e22ab13304e35492b2361bacc707de82a9154,27395955
e7794dbf57c7f985a6ea38d61d26aa972538521413cd27621a91eb0a,12064650
e445710004486e840bdf5ed3d7b0b16f2525b56953acbcffee8032ef,4950294353
02dea5a4227b3f3ea4c25cb9efec1c9d21d6c84c094723fc4d0ea263,15000000
cab0967b3096ff7e5de8e40146d3122db0e34893f72ade883a131846,5000000
74f1632353bec7d348167c96c7ffd786558ffc878e0b40768b7924e9,120401606
90f0fcdfc77362d0860462d44b0b1eb154aad5545fb7a7f22b79dcca,60200803
e8d1b19e46e7066a0956d0c8c915c53a0f9fc0cfa47baa4623c2021f,5000000
e18f3db2c698037197f44147053bad7f03abcf6fb7c4e444d894b489,64000000
5a41cab4804c774e0d9d277a19e2e3716fefd6e4d164fa8a771a1ba8,845100185
c70711e87499fa7715087ad19720193da2c1d28adadce65e59ad8760,55200953
b8cb0424eef740810cbd41c5c91029df4ffa5b2d6378d1e5bc3507a9,20000000
7b0c86a4526e23a1116c0b40d50e9c298db9828174d6d51e9a656509,63469161
295bf9591153dcb83d04969820f24de4d5f664cbe18a06ca7adef878,14131041
aafdb71f5a85b81842c8e3474a00c96d47c4fe59fa3460b50c22a64a,110115698
2f43e429dc76a0ec4afb8349c5b594c34007d6a347e1cf240641b361,52263234
d5cc8eb6d4400d4f86c6997628000f3c4f70e43afe0ccb121f8ddfcf,114920099
c5f5376a911dd67532725964baa964db077e359e2983dfaf2254e737,89719251
788f96b5b70946c93a8e1636bb29f9db59ce5d1225f14c0d64992a3d,5000000
ca9a8418d91d2add358265bbd10c49afaaa2300e02b376425f55f7ce,5287945
d0dfc3adbf11016a375287d5fc96a483f0cb34351d8319187a905af4,50000000
01378b27104565c5fb38b3e50ce5289bb4be722332a7fa724ed16ffb,10365876
ce49b96a1faf94835d72885dfb42ad4fcb9583d7b9095ac21a2ab73b,41016342
58c052676fe5b1cd52fda1ba62bbdabef2b3f261258e1fcfaa4df833,55200803
5c9a3ff40abae0bd9120585288288bf4a20321579536f74023b391c4,18286587
315da5b171400a2b8d131c70ea53f27b1977bb1fcec1537d70649dac,50000000
e3c85df20ca80ae819c9e91b969b7ba17ebcb800922cdf39c19e7aec,76413636
9abd53631fe5a032bf570f1203ae72c6075b694dd4f0b69cc61e8bbc,56490749
e73f8221818a9210e967ecb08660f46173cbf8e00e4abc582d751bcd,55200803
91b90be38c88534f0e56ac18a8d1f0c6b1502fff72d59930ca2a37de,360000000
dec779d04e72bb0665c0e872b0518430c847c7da5652612e24323d1d,25000000
26ccdf2b045edf22525f070742a369f0f2fada2c1c41a2558694677e,50200803
32e908a47133bf035a8e00bd458925374811b3358ff382360cd3b2b2,64675634
6e1d3d309a6f67c2f13bb942991334488594a81d11286e18bd121d98,55200803
9d0cd7e92ac43a56b7b3d3332db473b3c17678a828b5695d7ed9824d,55200803
6487ce4a259e4b3bb19fa9c25e788f68f30fdaa7d3f8f9afdcce2f70,176277553
6bfad24902340f4237017493bdf4490613343a1c2f02b7a5b4f4e337,453764718
6a22c66b1ac47584e99999b61de170878547bb5a6b87946a6f1e018e,559948777
d33119934f905c46c074d86b01e9ed68d8df9416c1f98311adda04d1,10680732
1c084aaa1b821b6e7d21126bd6889b7f3401ebed2d199f53a64e26fa,66200803
e4e2de12e558d71ab0fc1619d40e35af54d9cf52f08e31ce8122ab44,103092511
58ea2420f64fe656ec5943e779e98d1fc110179c2458ed15a54fd121,317988911
05f31a17a1444cddbf80cf95b8320c5c56b8fe17cb6601736ff8f115,200000000
71995412f0cdf4fb3b1d74d635c4aa6b9ccc26aa02f37b966ff7917d,348905052
6bdf4e6548d770125f81c51ebc92b583787973ead359912e3ccd8e66,195879892
dbf5eece11683244ae664098aa7ccf59463c9db57deb5f76212e166f,281470396
75cb8dc04aa5b612fe68979109e43b1a2274cb7272b5ae6e39d45047,1249040545
64b03c94c08691790077f8f113c8f4f5732f44bb689d5a16472a75d2,1100734970
6e026594a22d65113c775c77f54a6fff8db8b97a637e349bc31be577,371591312
1215c650198e8fe85528c3640a864a2b9202f1fdbc5a63e3c7663db5,109360720
07f8072b057b786413cc9d9d0f4f85401b2cbcefa26ab759e29e4967,147128950
2f20b5fb521c5a954e3fdcb2dd35ebacd6b3f115f547669044c34a69,175077097
37659fd936489ba08c0f7122f30d034594d20804392ba14cd2a6d362,70155637
cbf2fe83219efa63b2e1d6c43e53fefa9280e4e862b5cc88d5bdaf7d,974830698
f70639b94bd018699ff1f59a64bbee35eb1fa8f0781cc7afef21a595,119181251
66cbbaeabd729d99931787ed8131e73a68c9c975c11371fbf3385cbf,483093661
8bb9c1842b5df8a44359e65982adb4d2a7d0cb745a2b8488592e3d9f,1115236826
5aa2ebdddba959b7d986f865a0f07c0a5618cb4b70b30f0c4e28bd7c,1044940448
23b41dab65f698716d09448d4c399e10d2f66ba2fb6433671643c280,640523700
d4209720a89b2f9a7fcd308fa6b674efb065aaffa4d0198b31fedea4,118028165
cb7cb7825c61148750bb1569f658df2f54872e4a21378797628893f9,258000000
38a6b071d8b300a0a8219cb49ae293024f466985a89f62d6188d0388,180569254
31cc994137b7a7e50146010ffc9dab9caf50973961ac098c161b70cb,4170000000
54933a94ed62ac996582a2c1ad406265d1a5c419f6f7084997fe64bb,200000000
9d25f407ec78be5c5b0d1c0e95edff70844d338f1207cd04f1a07b25,61509390
5c6b98cd052d01a7085d492b90b1e0635de27e729b9c49b70d46834c,60200803
17e6192c507aa42939888c9354ab8ad76b387cdd923668c0999a198b,50200803
14db172528f57476c1d29bf622bffd830839e00a7a482fa282741e43,68977375
864f7a3b00ec7f36857c76b97cb1b32ea61360522085426dac6de657,60864367
d6da8505265361305b0d3b31990c6c68aacb8db033b9b5bfc07c9961,57665231
09575db3a66d29e820a464f9a5784aa42e3efd96396413c15d5a1160,58000000
aaaf156062589c37fd90726f613c01b32916a6462838d7e2964dff80,179149626
1be221caa2e043e3f2ac88126788bbab75a92f69f96c4ebd85e5d3da,343289522
75df5da715735841b5212ec303a6ee097e9090f137469d652e75287e,508330275
c1392bf9eb9d060a2a46e64d01409eef8d3d9056fefa25591d403ff9,62910692
b03fc0f810dd2efc888d5f89243e67bf584b1baeb0085d00336fd44f,233048900
230b51af049fb21eb6aa6c1da19f1ac3e3d70b406e1fdd0ce14c6701,340468366
ee51a274cfee8d4af313168a0d4e56b2e077b695121f9fdcea7ef2fe,82722706
30e1d879e58f4b99aad070dce28fc7d759522eacc5e3a06e79aa1279,258122471
19c87ada5b44424a2f54fdd13b556f9306ef9f1356359c57581abd4f,30000000
e57655e6fd41f82f6fd30e24ff080f774abe81f53acd6c9e7b2ed26f,2780498
92a18583ff5b6549b812dd1035b420789020d999240b9d122ef5e71b,21358542
b0d6004a93f5ebcbca3d9df0d90dd40d56118c2d092bf4073450c7cf,50431221
19626270a5894f8eb92a8637d4e8f1901baa949d1cb490f863c22f76,223698109
51efe629a2a27ed7854d11b8c1f5e47e5a2a502a73beb25aadc625fb,57577959
2722b73e6fdadd44d7e771dbde649d36ff3ac90277ce49b530355d3c,40080106
2a38fe999e0e75a82a46c4841e9cb6c5cc1ad23da92ebcd58f2181f4,60799684
832e90183c6eb6269627501eeefd9248d24265205d2b3f92b7e8d5ec,205349584
742e13aeb9130597e75cb1e4201368884b223a027760b1614ddcd514,55200803
9b314b76487603dec62a43cfeea584dae73cd42e7f83871495974fdb,8011025
df6ae36c5ece938f1ac50184e91aca50ae5fc231ab25eef48ad4612d,160610185
89fae6b961375b8fc1152761eb6e0c30cd8a90ab0134a738216642b8,56817236
bf1cbf18995ecd67ad865a0089109b5414093d0c41e9d02fcd9038f5,155189371
6274d31f2a7b5ba0fd901294b69f149ac84c15986976c7ec7fdce7c4,148689444
b225a95644ad95a1e309e22592f735614cef10a7a368651aecb22297,15197624
597619e9233ddb715df243a0d183d89891f3204dcac08dcd692732ef,727973250
7c7196a2e024d2b4ea5fa113dfcb50125d174f190c7a8535bc29184d,59342422
6f4929b4cc2fd65c274d58dd1d08ddad02a9cc2e8f42e836f6f57d44,145693549
77e222f372bcc8b0be973c9a882839f381170452667df9938babcee5,64360430
a65059f2283e5ff29d0c818cba02d9f700fc7c3e891c324bdfd5d1ca,200358874
b6bad6298d90bd995da86bc1b8ad9422b81ca6fa3c60311946a1d8b1,140420686
c11f654d8903679a66bb77686c7c6f49d09af62f797185f8c7c0e49f,55200803
07baa50981e163bdfd810587d475c2a03611128529ff526fa901e36b,8453301
68c9b3f060b80016b1f8baa5c6e7509928774b6cea8a32f99fc87c1b,50200803
71b03bb1f2db64f230e74c08d8bee62313660b1bf9649fbc28f690bc,204342394
6c2c506ec04e624743404ae1688a4fc6f668de7ac6990612e26246d0,5379819
edb0c1b08e873184c25ab99e045c1331c2a8009d5d6abafef20429d7,668450438
01d122d347c6ca3255b9620ea16ad7bd5432060062f9431e2fee9692,70919781
0be100b577b01fb14cd3163192a4b4ef9862a633c140ae6f2c8bf6c2,115111197
86a9f35b9aca016ca6dc57a7ee43ed34e1618cd9e3ed28c9e3c862b7,251999997
6cb5d04e58d00e66d05792e7f785b918c4d3998c2b3d71f613a0aa1c,21547440
0392279ce70fc3bc7d60fa0437da097cc264ada08fd59acdba593965,20112385
bdea1a2fcab12f296699d998c594e8385b7342f2ff6fc2e60ad65ab7,71622907
7d9bd96bffd557031b105316885d46d7a6a2cfbf4afe31753e92e61f,149753839
d651ba5a9fa1534f863a2fcb6b286f00b72ba814a3ac498ce7329b4f,1309826
653389b93840ae7db1d4001ee26e576a3039e59fcb266d6b1f7bc89c,141432366
cde3fd6c46adf3f0cc65ed32d273399bf9ae4282ea52679f61384f5c,135407190
170c6964ad2f725504bd190c5293d8b4e7c7770cebb7e7ca798b3c84,7143283
d45412bd659b743dc194f012b7d5fb89e23cb3752460ce286879e9c8,218567720
764c33426e7379938dd7b0d7a361d9417050b14376afc2384f765170,15000000
49efd5c8f3be6a349277519cf9546365f1f137f1193f26a1db435bde,56491394
8d56b95df6113023461ebfe3d7be31dbd1f67ee4dbe6fe4d7536c099,800200803
5e36c08331d920d1e9dd0b36c8687e005d8be15ea53e163db957767e,141695236
cdbc08c8fa42aaae830143e70ea3e23afafd4ff1aaf378084d878a1d,54203500
a2b3fc71aa466e489bef35c30ca8b4a9388f701ab0cd73c9c81a5409,50382611
29e84e4f5fbefc975034f1f9bac492359bf018f6aee33d1de83a1d20,57598385
65be0ee61cc8cc3f6ff9687c6f1c8dedf12ae28ca1510ad182c8029f,28000000
66408f197695d49b6680efe0a3194974e5e39e8821bff15d3be559c8,61169245
af9690bc77aae193799caff8fd16cefc4faad635dc5b4628e6b78aea,1228317786
8d936446136ef1c56b2be4d5a4f98e6fa1012788406a466f9b713fd0,70643612
95aab629810acf425e4448592d1a5a0265255116e5451f90d7034b58,37428368
ef1b8e5788243f98f97c531b88761b54587163b6478ac6ff99fe359e,88569333
783a0ce543f351d7963c5c65e1b83331748d20f67a54bb28a05a56ea,50200803
a7f79572dce483259853583258d9d81c91d64b82d0491406f16b7978,400966650
f983b3613a668d390f454966a15b4ffd5edc096d9f05362431b5eb94,200000000
cebfd7161d6cc0e7898a14c47c8f0e656c4a6d1c33e90f6355306a44,419877787
ec622c8600f497bc464d08f69666891b2f18e189b73765e83105245a,63055694
bb03fd88c96381f31c42d19364b868f2bf49371b95aee420d9fbf64c,2172377377
ee956a31ef2cc051e8a7890deecddeafaa26c189d1e0506ecd93c0f7,779850335
651bd5ad24d71629020db8e5b179bf3848991bb60336d0ea4b91abdf,63975331
4208e35823ddd862e79dc2f11a6a89acf9db6d1314953740c2135edb,34191059
57f47c774b61a2ff4ff48fd018dad30310aecd979dcd83a8360e0c36,55000000
77d4f920c89d97bafd74486a38aee4f1bf8642e6e9537dfb5fe4e3c3,66918559
a181fb98e93e123144d85fee0993bd560ed91d82ccb4b9681bdecc95,1657896473
9ecab7f3c7caf51a1836e311550bfb0405eb11630b0f0a9309ca040a,60254351
1e204f0840bbba9bf453fb8cac6bfadf5609a5ab80a4d7f998428ae8,58980485
3676a8f6fc88d00bb27fa5eb2e25f91b69ad6b211c9931263bbeb39c,513526216
19006487a208affb9e50bea4ec43f00e27b951edc7a440ecd4a88d21,10339569
c679ca09b6d1e4573f9e39f834f0058433b6555f2ec8d3afacd2e278,51472286
45133390b119b3395125f3286a6b28b5ca2eb4ed87c91d230aed2f21,98900000
fc232c17b74da57491ceaf8a5e7a3e772fe80a8c9186111c4b814e73,55200803
6917228be04ba6acaccef355e2c081ec98b7f8b03ea7150a49b9eddf,130000000
040e6d2fb75dc0c71e36e09d818b52a4b431ce2c18e1d4696881ee76,1209620627
b0d375a666929853733c41ede207d3cc753e58870379f1d35a5981a1,540748222
a65f8e59e420127c5d0162fc7e02bdf89275bf436dc849c0135038bb,71543599
7328ab6d917830c7db07347e34d628bd76421d260b9064231a34955e,446020078
d5fccc4d7f4dc13216221ccd3d58bf625e60869dc064bc6e1c0ae199,127230123
17b20aff00b6cd78f4ac0c68b92d90346171f461a9e6d22aad787dc9,84699688
9757a7bb7ea19885aa7ee7b79fdb8a0fbedf1af89586415cf9a5acdb,629042927
27def4b02245d51b0d080d7b230a060ce65edd278d4c2f9cdc55b148,60551698
b9127ad6a07fb42d0a5323ce8a79edbf1fbec2c87d010884d650799f,84520904
bbc6d8e0a8f8fa47238a3df22e1b9a0e39a0de2330ba5b49d69a6bc0,902634646
1076bdbb3277f8914ae2bf3cd5f7a8b228dadc77eb2cc3f228371ca8,1127731238
413db31f3431a36ed0a6278f9739ab6224bdfb66565ddfde63d03f42,35000000
c9fde66fe27b703cf0e7b2dafab026337dda757a1958d8147b7bca3f,302664989
5702f52da640d5a34f3ab8ee04deedcd5afdbcecee453820caf77825,544759519
b19d4ad9096a58f150df5ded2b337eb4c01c83cdd84ac9646cf7d8ad,412481488
afe2d0090ac16424adce84f9362c81f92bc976dfa08509e2a6a53540,251185688
ac293f8851bccc597d9f23b7b76bb9afca7bf65e42c93fd9e51ebadb,156452928
c3f7cbf63fbe8af505359cd58974c2d367282c0fa3917791e14a86a8,26219770
28e6f2f013c597fb1c39699e5bb4c81671f48d77facd478638908785,855918985
31eec5d71937555a28119e20dadcbe20b67b367b2f31f21957466444,25801111
ad397033e75060b31ecb2d07be8b315c9c27ec739aa7779703d70a6f,28179409
cf5a71377304beaa326262fbe9c2c4bdb79a2c9dd8b58587361d75d3,65696965
fc5543c66855df3872fc1c6bedbd95bb592feb158a7656d0964358b1,97700000
df3f275fbe66d59009dcf0ce7c0b45a3a39f9a756a8dfda75e5dfc6a,65302253
1ec35cc7e933953ef129dc5adf6c6773f0400d20a0c3966ffa19b253,1232348966
fa242cdaf5a66d7e67a615d25d675079ad95cd93516de46f330dd631,1
faf69519bcc564b0910efbd47f81c2730b0afb05ad41c9fe36fdf85a,240101606
c8deaac83b9ca7f1a985b6c69adf60da07c2b3becfd2fd9a69f22b62,201231096
af28fb0c496ec12e14bd2b811c3e0b14af9b5f18832209c9403015b3,85919627
ebb3c77c9d613815a380172a1ccc3f14b656b3a637c068209100501e,949347680
f6babe82e81a1d51f5e4368647e69d71363450dec2d259c239658201,110977809
87acac5a3d0b41cd1c5e8c03af5be782f261f21beed70970ddee0873,95114897
d74a6efc13c28b96e80fa23036353ec62897443d0ee58a7cae63cb0b,2599396
7a730560b9ebceba314474dcd86bef107ba8a3ca8b51be98d68c1d05,187600000
009db4768f9eaf740e4de81848de05581bc52b543577fa5b70a89169,777546636
f30c8d52d06adc54518b2b7bf8367685fafcc1d598b6235fff1674e1,56933540
f1f046fcc9cd06aa851f3296213d127f954ecba8136ee829a645f3ec,25901799
52c268db5373bd8341a1b9966bcf911fbbe609186d7e1ba0d3374c41,300893609
2f4e8da97004e32314dc415458f6557623446593e1ffb4045b219504,1479316366
2f766d370a824600bb638f3252eac47736a0d878341d0d1046223175,19385895
f9f2145a4745019f15d0b21fcdd6a58e7f2e4f7b94337fd9b5c5db63,71065
68c422b24b256d0fe88baf824bf11188b7dde53bc3212e39b57fbe79,145681026
e0a5fe8d81c61f33e7b47c1a5b07c02ca836cd80b91e2ce18e088db3,28943396
7d5258011fecab08aae5aebab8b28abbe2d0667777ba836007a62f80,1214413841
5a84b371c575408cf3248c93da89915d065c4196b90e3b731f56ea05,217551944
eb3c8afd6a7957c098588ae417a828fa7406802a50c8cdda441b341f,60622786
752ca73ddf1be8dffa36de008da3efa547f9b96354198896f5961e0e,5237162
00d9bf354283625e263a2923de8c8901f4efdbefe988326c78383fb9,565278782
5cdcfc5e36b8442d5ab98be63d25176cf0c7e61a8764bd6c45b07053,287095964
