owner,indy_staked
7de337d83081a32aebfcd1e0d193a2bc16a27bd6b79d4cae868e10ef,605101348
c393e4b6dd6fdb57e4c30d9aad9d9d45e92ae407d275e9c41d01aa0b,268621980
4c198e7cd7d23b836fc7278abd5a05787f50605837e7bd287d4e5efe,250000000
359a6ee4b216406ce343ddbc15515392390bf5b710ca76cbaf1f5b98,105482840
13b074156634e2289f02e34616d97b9aad91069a43173660645f4f04,140043021
ff6f1a1500c463068faa3a4aee28ee0e9bdb7cd667b3ac131aaa6f2c,438857891
4bdcb3d0328b899e150cbe4efeedafcb2d46cd97f56d1d1a97b8f99d,81118336
e24aa6143beb9268b9e03ed94d83a5523abbc0978143b4c9dc84543a,1040219530
b881f90483bbe408f30486592322eb0e0dbdef15f2a74090d75b588a,2014239351
441b31c71e56bb58c2c48b7feefa162545421174e754f00b0a538d2b,40000000
066c66ffc288f51e3b819af90ae90defa1cb98ea92b2ba3d792ebc05,236172466
826d2683285bc4a4de68fc10eb78f2631371f48a5d4c0af654badda0,159209676
b32472f9afa6d5ab44f07d95ac5d3a5a7f0a17c15c91c62e8646e686,31635180
05f8ebd54f40e71508f9cfec116a05dc8256562162f8024666821248,282792317
d1d795290a3d33966342eccfa48370fd31be84d20da657cfde20f293,10463186508
f417354ea5c9981124310b191613f0e5d1010658a25023da678d457a,50200000
bbf8efc07b495bb4cd26b991478837bcca658ac1dd2994ef175194f2,142490583
c5e72a1d9695eb5991708b3d3488da58cc28ffa9cd915b06927840db,196715585
60b04f1650ff0c9f6faa15be8ffff7e5cd37bf4a991b0a339189a45f,64746744
7d0ced70b0ada8bd3834180e4f35c9721880091fff4919b3abd71081,546415539
079149c37132732f4c604b4aeb2d9da529245c849e1deefcae88777d,1000000000
17d3378cdb60f18ebad70aab20bf4be3fe7415602c2e07313297aa35,185583491
5baa3292bcef8e8ae33d89380d874498161b6a907d86446f40355716,155678476
8091c4a4f2c561daccadf93e578bb4a9c633a492e17d0edc56dec611,38116479
d86fa607e69f2660106e34839eae00a0b8759fbf4a41f9c00036fadf,100803302
c8252bb996a2ab4ec46f72515358d2ce36d5e2f8a632a46f8c80bbf6,647141
41928405b9c6a6b86c0a279230f2dd107c0ce1448aeec9092d4bcb0c,5000000
cc42402b917443957763a94854647b10ceb0ae702a224166ab86b8a9,229527877
bd0f8a958763197ef563ab8d4d85fc21fee6f7b894d6c7c8d82db00c,5252039
37d0d7bacd94e0c31b8a3a88a5b9e075dc47a7c11720e9806eed4ecc,1007825577
6f55a9d74db68134d952107df81bfffdec92fed808885f29e3ab39b1,7921112
8e4c4f8d0f67a94af1883b4dd4279e20e28ea8fa665d3f3ddd4b10e0,55200803
e18f3db2c698037197f44147053bad7f03abcf6fb7c4e444d894b489,65002653
df3f275fbe66d59009dcf0ce7c0b45a3a39f9a756a8dfda75e5dfc6a,67348197
5f841de490d21c2b60d865852552b8a829e6ef4fabd1fee7ac7977bd,210744304
5d8751a176887a83a14167cb4b9e5ca3a73ba0174e5eca78f1ba5fdf,81896145
a5519ef18d12dae09537ad81bef88d2cf26f0a098a611e2c38312c99,5000000
b06de0e550b9ee9634f29c3a588895771136179f203538f73075f212,88273415
463bdee1c1a1e648c622b3e816b3807bea5c7be7d706600b0416b5d2,55255754
37d9be618d743a10996ee38b37e399d227e82ececbd7d7ece571754e,1046729403
9df0fdd3db0158ed684a408f5e5dd9743ae46de53da4e3d5377447e7,309623859
b1ca53b12a8c7f0b5adddf9157cfc2548b93fc854cc124174394b8fa,286644469
7c4700cf442f1e7a36fd87358d1d31c30de7dc95c87826ba3ba576d6,5000000
8c744ebc3c21db312467862b8c78e22996d630c4ad1cc68063763124,600175073
3de5bd9affd4d3a8f02cdf5c1fc30889db7338396507f4309c1c48b3,224130145
c991d939e8c10c81dba66395505ee332e0ae45e3907d7b7472db67dd,406330858
629d65150be6cb66974fe8e05c223905a22b0727af9f80b8600f2687,1339283697
cf59324e35572473a1c164ace3b16a04c1893f82aae9557abe429d89,189025773
9f77b7c63ff36fc6bf4b082a77c4a49439ebd5305e184772b63a3aa1,403361240
aada39748edc9f40ec53f879499a837f6badf180413fc03a7a345609,151864256
126758697b9a80428f98a0166049f2398d77a9973bf756f04bc498fb,1502317908
5e7faea68262c87aec85b67c123673325a4193ab39de773499af83ba,977347674
61d737c410a1113827140e45487c92fc4eda8c428f282b414acd96d9,55000000
596d2da848b7b652275eb8000608321ce5e0678986463aac8ef86020,1226087514
2a2af801d6d80d6d209060a6844f279eb52d0bfd485a66a001bf4863,2625152028
14db172528f57476c1d29bf622bffd830839e00a7a482fa282741e43,69751346
6dfa5c283d15c82b85b918c5480a6abf540d11f8ba50bdd65af11b86,98330818
9d77c4650d9fc15ff9d7591ec7324e12e84a7b588a88586e55113d83,614008753
746e049236b01ed655d89652e16100bf4836bf374b1f58cae0319d9c,68129930
8d6ea93063eb24cfda5ccf10dca2247e899a25134395eded5a9ef8cd,50000000
8b6a8a7ada12e6851dc071fff65c7407f6c737d6ddf270f2ac38b9ba,3330373066
528322993c2dcfc6256101f35cd17ef0a2893c840ca2c84d153cb61b,53963182
276bb8945d202709150d77f2e7c4cc05a14787a863708c8074e60fa7,130000000
9d0e822486b5d2b3916537f464cbd5964dd56df4bd08f8bd627d5724,55313215
b4ca9341a82c30d764fa6a09c589721719c77fe3d783c1db62d558a2,1908073
8707ca72180e998be7256d3ca209f1018ee51fc9f9e1d55fd1d962ae,266177140
d6e3d66efb7fa4952880722480e66467a350a17d78a96cdadf979d53,409123485
37ad132834c7a71ed70912a3803ce9249d2859b6b8b31212dfc050b2,1000000000
7f1aef8affb8d4f7079ede6fa56ca2a43054aa8080b35b16e7cf1ad6,58618840
4472e744fc92b64acb6a78db6c5e9db7e58575467579441fe38906fb,300785482
6a6522bcd0d5981ecd7987620b3139ec45b3f8708ef9fe117c3e5433,287087132
f32b0505b12d57bea6fadde5e9fcf7c89294f79205cfe1074e0f35a0,210413156
c6c3c85f66fb3455abc3cc8331c2e185b6176425de350ce860e336b6,79081101
50d6ae116ba29b1a6b1f0de2e4ca6cd7468e42718117e5c60b39e845,334654248
5c9a3ff40abae0bd9120585288288bf4a20321579536f74023b391c4,18286587
d5fccc4d7f4dc13216221ccd3d58bf625e60869dc064bc6e1c0ae199,128634679
a199d2ec461153020ee18bbdfe5e4e3a2c9778bc4d265ef7dc64a6b8,1000000
779311e3763a0548a21966fcbaee04af77a5c21dc863eaf8dfb7d232,137795646
c90dfeb23d605971a7c59e29113aecd883e6390ae59b21748a3ef672,5458156
442473fe94bec21e9f98a2aa1ee59955a336ec53ee7e9571a37919fe,1028831
adfa05b38e47fd0dd027217e2e2b26c8bbeef24b73ac056cd653e96a,1004123982
2d8b58a57ce17b2ac48f58351f601e190ea7a131cd917482af52d581,297416805
3f1476a2c9e976c0dfc1245f38861145a4b1ea4122a2f57b8b36ac0b,1847544514
251afb45009e8cdcc4d95ce402b280fd11751704e540c5c12c5d293c,31558543
3a1154a0df1519ef2c900f6d4adbc759a15a49ba7a619818c77e9a17,150000000
bcb862b4f032dc4cb80ffdbb2b227a2f67b8eaece95b0a6f9fb57239,5000000
d1cdb7fcc0c031a5c78fc076ddea5d6af4c079106c3fa7460472229e,236066378
cd8ad5ca195f6a4544a78e23074dee387a656cca96fe6d5424bc9a47,25977454
6bfad24902340f4237017493bdf4490613343a1c2f02b7a5b4f4e337,571213563
f480fbde43ef244fdc26d00d58708b3ebf0d6db3aeedc8d404c3bcd9,51205216
c939e67d1b064f4ce7494926542f57cb5d8df4487955418e4eb1fd8f,199303717
698ceb483c24a183e0a9efbb33b25789c41494082421f4df6c75803e,1944271651
6b6b15e32969a5152249e0aeebebb2d68884e1121683bd560d12c3a0,10260683
e2a3bc9f398b6f1efe80bf7a1293dfd4c04ea81867ff0a897cb5eacd,6630032
4baee12a37eb70e16358d95348b2a3ff48f825b65abb21474d7ca589,200000000
30e1d879e58f4b99aad070dce28fc7d759522eacc5e3a06e79aa1279,276485167
79e78af19adc7f5841fa2e5c98d0bc6e87d633dbaef19a8d00a8361d,101827946
581e8bf75c79cf115e3e2b5c5245e9ded124eeaeb1e62d8c04ef1756,148429936
7b06fb9c3dccd1fd43551a709ca083f27abc89427756fd14a4e0e89f,50837962
1eb3b3528aeaa088082ea06668b523a1797f88100ccb1d7544ec9947,44848922
0f1c06517bfa8738c45145700c04303d1f5b5168cec1a083deebcd7c,11663050131
ab77b8ac2a53693e0889df3aae2321152c04ea1f03dcbbac9ed369e6,161086781
